question,answers,type,template_variant
"Who wrote the book ""Sing Down the Moon""?",Scott O'Dell,book-author,who-wrote-book
"Who is the author of the book ""Smart College Career Moves: What You Can Do Now to Make Yourself More Marketable Later""?",Michael J. Russ,book-author,author-of-book
"Who is the author of the book ""How to Turn Down a Billion Dollars: The Snapchat Story""?",Billy Gallagher,book-author,author-of-book
"Who is the author of the book ""Swim Back to Me""?",Ann Packer,book-author,author-of-book
"Who is the author of the book ""Free Air""?",Sinclair Lewis,book-author,author-of-book
"Who wrote the book ""Why Zebras Don't Get Ulcers: The Acclaimed Guide to Stress, Stress-Related Diseases, and Coping""?",Robert M. Sapolsky,book-author,who-wrote-book
"Who wrote the book ""The Cat Who Wasn't There""?",Lilian Jackson Braun,book-author,who-wrote-book
"Who is the author of the book ""Fruits Basket, Vol. 6""?",Natsuki Takaya,book-author,author-of-book
"Who wrote the book ""The Hooker and the Hermit""?",Penny Reid,book-author,who-wrote-book
"Who is the author of the book ""The Bronze Bow""?",Elizabeth George Speare,book-author,author-of-book
"Who wrote the book ""The Consolations of Philosophy / Status Anxiety""?",Alain de Botton,book-author,who-wrote-book
"Who is the author of the book ""The Perils of Morning Coffee""?",Alexander McCall Smith,book-author,author-of-book
"Who wrote the book ""Living Beyond Your Feelings: Controlling Emotions So They Don't Control You""?",Joyce Meyer,book-author,who-wrote-book
"Who wrote the book ""For One More Day""?",Mitch Albom,book-author,who-wrote-book
"Who wrote the book ""Travel Team""?",Mike Lupica,book-author,who-wrote-book
"Who is the author of the book ""Autobiography of a Fat Bride: True Tales of a Pretend Adulthood""?",Laurie Notaro,book-author,author-of-book
"Who wrote the book ""Boom!""?",Mark Haddon,book-author,who-wrote-book
"Who wrote the book ""Love Bites""?",Lynsay Sands,book-author,who-wrote-book
"Who wrote the book ""H.G. Wells Reader: A Complete Anthology from Science Fiction to Social Satire""?",H. G. Wells,book-author,who-wrote-book
"Who is the author of the book ""Full Black""?",Brad Thor,book-author,author-of-book
"Who is the author of the book ""Science and Psychic Phenomena: The Fall of the House of Skeptics""?",Christopher David Carter,book-author,author-of-book
"Who is the author of the book ""Undaunted""?",Diana Palmer,book-author,author-of-book
"Who wrote the book ""The Art of Woo: Using Strategic Persuasion to Sell Your Ideas""?",G.Richard Shell,book-author,who-wrote-book
"Who wrote the book ""I Heard That Song Before""?",Mary Higgins Clark,book-author,who-wrote-book
"Who wrote the book ""Blood Feud""?",Alyxandra Harvey,book-author,who-wrote-book
"Who wrote the book ""Scattered Shadows: A Memoir of Blindness and Vision""?",John Howard Griffin,book-author,who-wrote-book
"Who is the author of the book ""Murder Is Easy""?",Agatha Christie,book-author,author-of-book
"Who wrote the book ""Where There's Smoke""?",Jodi Picoult,book-author,who-wrote-book
"Who is the author of the book ""Warcraft: Durotan""?",Christie Golden,book-author,author-of-book
"Who wrote the book ""The Runaway""?",Martina Cole,book-author,who-wrote-book
"Who wrote the book ""Normal People""?",Sally Rooney,book-author,who-wrote-book
"Who wrote the book ""Homilies on the First Epistle of John""?",Augustine of Hippo,book-author,who-wrote-book
"Who is the author of the book ""Summer Moonshine""?",P.G. Wodehouse,book-author,author-of-book
"Who is the author of the book ""Lethal""?",Sandra Brown,book-author,author-of-book
"Who is the author of the book ""Sentimental Education Vol 1""?",Gustave Flaubert,book-author,author-of-book
"Who is the author of the book ""Nauti and Wild""?",Lora Leigh,book-author,author-of-book
"Who is the author of the book ""The Gospel According to Job""?",Mike Mason,book-author,author-of-book
"Who wrote the book ""Stolen Kisses""?",Suzanne Enoch,book-author,who-wrote-book
"Who is the author of the book ""The Complete Idiot's Guide to Beekeeping""?",H.G. Bissinger,book-author,author-of-book
"Who wrote the book ""Complete Works of Johannes Vermeer""?",Johannes Vermeer,book-author,who-wrote-book
"Who wrote the book ""Night Fall""?",Nelson DeMille,book-author,who-wrote-book
"Who wrote the book ""Airel: The Awakening""?",Aaron Patterson,book-author,who-wrote-book
"Who is the author of the book ""The Two Gentlemen of Verona""?",William Shakespeare,book-author,author-of-book
"Who wrote the book ""Star Island""?",Carl Hiaasen,book-author,who-wrote-book
"Who is the author of the book ""سخط""?",Philip Roth,book-author,author-of-book
"Who wrote the book ""Ants at Work: How an Insect Society is Organized""?",Deborah M. Gordon,book-author,who-wrote-book
"Who is the author of the book ""Everyday Grace""?",Marianne Williamson,book-author,author-of-book
"Who wrote the book ""A Arte da Guerra""?",Sun-Tzu,book-author,who-wrote-book
"Who is the author of the book ""The Dragon Reborn""?",Robert Jordan,book-author,author-of-book
"Who wrote the book ""So, You Want To Be Like Christ?: Eight Essentials to Get You There""?",Charles R. Swindoll,book-author,who-wrote-book
"Who wrote the book ""Skin and Bones""?",Sherry Shahan,book-author,who-wrote-book
"Who wrote the book ""Just One Drop""?",Quinn Loftis,book-author,who-wrote-book
"Who is the author of the book ""Promiscuities""?",Naomi Wolf,book-author,author-of-book
"Who is the author of the book ""How to Change Your Mind""?",Michael Pollan,book-author,author-of-book
"Who is the author of the book ""The Art of War: Complete Texts and Commentaries""?",Sun Tzu,book-author,author-of-book
"Who is the author of the book ""The Man Who Invented Christmas: How Charles Dickens's A Christmas Carol Rescued His Career and Revived Our Holiday Spirits""?",Les Standiford,book-author,author-of-book
"Who is the author of the book ""Paradise Restored: A Biblical Theology of Dominion""?",David Chilton,book-author,author-of-book
"Who wrote the book ""A Woman's Heart""?",Beth Moore,book-author,who-wrote-book
"Who wrote the book ""Seventh Son""?",Orson Scott Card,book-author,who-wrote-book
"Who is the author of the book ""Adeline: A Novel of Virginia Woolf""?",Norah Vincent,book-author,author-of-book
"Who is the author of the book ""Daphna""?",Edmund Spenser,book-author,author-of-book
"Who is the author of the book ""The Trials of Roderick Spode, ""The Human Ant""?",David Mamet,book-author,author-of-book
"Who wrote the book ""Antony and Cleopatra""?",William Shakespeare,book-author,who-wrote-book
"Who is the author of the book ""The Handmaid's Tale""?",Margaret Atwood,book-author,author-of-book
"Who wrote the book ""The Opposite of Fate: Memories of a Writing Life""?",Amy Tan,book-author,who-wrote-book
"Who is the author of the book ""Complete Collection Of H.P.Lovecraft - 150 eBooks With 100+ Audio Book Links""?",H.P. Lovecraft,book-author,author-of-book
"Who wrote the book ""Las lecturas diarias de Maxwell""?",John C. Maxwell,book-author,who-wrote-book
"Who wrote the book ""The Shadow Of The Wind""?",Carlos Ruiz Zafón,book-author,who-wrote-book
"Who wrote the book ""The Seven Capital Sins""?",Fulton J. Sheen,book-author,who-wrote-book
"Who is the author of the book ""Downfall""?",J.A. Jance,book-author,author-of-book
"Who is the author of the book ""El manager al minuto: El método gerencial más popular del mundo""?",Kenneth H. Blanchard,book-author,author-of-book
"Who wrote the book ""Leading with a Limp: Take Full Advantage of Your Most Powerful Weakness""?",Dan B. Allender,book-author,who-wrote-book
"Who is the author of the book ""Spirited Away, Volume 1""?",Hayao Miyazaki,book-author,author-of-book
"Who is the author of the book ""The Elements of Investing""?",Burton G. Malkiel,book-author,author-of-book
"Who wrote the book ""Dearest Friend: A Life of Abigail Adams""?",Lynne Withey,book-author,who-wrote-book
"Who is the author of the book ""Sacred Games""?",Vikram Chandra,book-author,author-of-book
"Who is the author of the book ""Happily Ever After""?",Charles de Lint,book-author,author-of-book
"Who wrote the book ""Million Dollar Habits: Practical, Proven, Power Practices to Double and Triple Your Income""?",Brian Tracy,book-author,who-wrote-book
"Who is the author of the book ""Illuminata: A Return to Prayer""?",Marianne Williamson,book-author,author-of-book
"Who is the author of the book ""The Edge of Desire""?",Stephanie Laurens,book-author,author-of-book
"Who wrote the book ""Maisie Dobbs Bundle #3: The Mapping of Love and Death and A Lesson in Secrets: Books 7 and 8 in the New York Times Bestselling Series""?",Jacqueline Winspear,book-author,who-wrote-book
"Who wrote the book ""A Touch Of Love""?",Jonathan Coe,book-author,who-wrote-book
"Who wrote the book ""The Literary Ladies' Guide to the Writing Life""?",Nava Atlas,book-author,who-wrote-book
"Who wrote the book ""The House of mirth""?",Edith Wharton,book-author,who-wrote-book
"Who wrote the book ""Cinnamon""?",Neil Gaiman,book-author,who-wrote-book
"Who is the author of the book ""The Young Elites""?",Marie Lu,book-author,author-of-book
"Who is the author of the book ""Trinity""?",Leon Uris,book-author,author-of-book
"Who wrote the book ""The Civil War Trilogy: Gods and Generals / The Killer Angels / The Last Full Measure""?",Jeff Shaara,book-author,who-wrote-book
"Who is the author of the book ""Welcome to Temptation""?",Jennifer Crusie,book-author,author-of-book
"Who wrote the book ""Portrait Inside My Head""?",Phillip Lopate,book-author,who-wrote-book
"Who is the author of the book ""Queen Of The Night""?",J.A. Jance,book-author,author-of-book
"Who wrote the book ""The Dark Before Dawn""?",Laurie Stevens,book-author,who-wrote-book
"Who is the author of the book ""Homicide: A Year on the Killing Streets""?",David Simon,book-author,author-of-book
"Who wrote the book ""Lenin's Tomb: The Last Days of the Soviet Empire""?",David Remnick,book-author,who-wrote-book
"Who wrote the book ""Self""?",Yann Martel,book-author,who-wrote-book
"Who is the author of the book ""Shadowfell""?",Juliet Marillier,book-author,author-of-book
"Who is the author of the book ""The Lollipop Shoes""?",Joanne Harris,book-author,author-of-book
"Who is the author of the book ""Be Worshipful (Psalms 1-89): Glorifying God for Who He Is""?",Warren W. Wiersbe,book-author,author-of-book
"Who is the author of the book ""The Heretic Emperor""?",Paul Christensen,book-author,author-of-book
"Who wrote the book ""Dream Warrior""?",Sherrilyn Kenyon,book-author,who-wrote-book
"Who wrote the book ""A Lowcountry Heart: Reflections on a Writing Life""?",Pat Conroy,book-author,who-wrote-book
"Who is the author of the book ""Learned Optimism: How to Change Your Mind and Your Life""?",Martin E.P. Seligman,book-author,author-of-book
"Who wrote the book ""The Bellringer""?",William Timothy Murray,book-author,who-wrote-book
"Who is the author of the book ""The Case Of The Vagabond Virgin""?",Erle Stanley Gardner,book-author,author-of-book
"Who wrote the book ""Fifty Writers on Fifty Shades of Grey""?",M.J. Rose,book-author,who-wrote-book
"Who is the author of the book ""Candide and Other Tales""?",Voltaire,book-author,author-of-book
"Who wrote the book ""Nixon Agonistes: The Crisis of the Self-Made Man""?",Garry Wills,book-author,who-wrote-book
"Who is the author of the book ""The Kraken Project""?",Douglas Preston,book-author,author-of-book
"Who is the author of the book ""Some of the Best from Tor.com: 2014""?",Ellen Datlow,book-author,author-of-book
"Who wrote the book ""Hot Night in the City""?",Trevanian,book-author,who-wrote-book
"Who is the author of the book ""Black Out""?",Lisa Unger,book-author,author-of-book
"Who wrote the book ""The Hollows Insider""?",Kim Harrison,book-author,who-wrote-book
"Who wrote the book ""Fat Is the New 30: The Sweet Potato Queens' Guide to Coping with (the crappy parts of) Life""?",Jill Conner Browne,book-author,who-wrote-book
"Who wrote the book ""What Hath God Wrought: The Transformation of America, 1815-1848""?",Daniel Walker Howe,book-author,who-wrote-book
"Who wrote the book ""Last Train to Paradise: Henry Flagler and the Spectacular Rise and Fall of the Railroad that Crossed an Ocean""?",Les Standiford,book-author,who-wrote-book
"Who wrote the book ""Now I'll Tell You Everything""?",Phyllis Reynolds Naylor,book-author,who-wrote-book
"Who is the author of the book ""The Mystery of the Spiteful Letters""?",Enid Blyton,book-author,author-of-book
"Who is the author of the book ""The Second Chances Collection: Never Again Good-bye, When Dreams Cross, Blind Trust, Broken Wings""?",Terri Blackstock,book-author,author-of-book
"Who is the author of the book ""Antigona""?",Slavoj Žižek,book-author,author-of-book
"Who wrote the book ""Mystic River""?",Dennis Lehane,book-author,who-wrote-book
"Who is the author of the book ""Becoming Myself: A Psychiatrist's Memoir""?",Irvin D. Yalom,book-author,author-of-book
"Who wrote the book ""ABBA 1, World 0""?",Chuck Klosterman,book-author,who-wrote-book
"Who is the author of the book ""One Faithful Life, Ebook: A Harmony of the Life and Letters of Paul""?",John F. MacArthur Jr.,book-author,author-of-book
"Who is the author of the book ""Pulp Culture: Hardboiled Fiction and the Cold War""?",Woody Haut,book-author,author-of-book
"Who is the author of the book ""Dark Companion""?",Marta Acosta,book-author,author-of-book
"Who is the author of the book ""Sagarana""?",João Guimarães Rosa,book-author,author-of-book
"Who is the author of the book ""Bob Dylan in America""?",Sean Wilentz,book-author,author-of-book
"Who is the author of the book ""The Importance of Being Earnest and Other Plays""?",Oscar Wilde,book-author,author-of-book
"Who is the author of the book ""Lost Illusions""?",Honoré de Balzac,book-author,author-of-book
"Who wrote the book ""No Holding Back: The Autobiography""?",Michael Holding,book-author,who-wrote-book
"Who is the author of the book ""The October List""?",Jeffery Deaver,book-author,author-of-book
"Who is the author of the book ""Carbono alterado""?",Richard K. Morgan,book-author,author-of-book
"Who wrote the book ""Mardi and a Voyage Thither""?",Herman Melville,book-author,who-wrote-book
"Who wrote the book ""The Mourning Hours""?",Paula Treick DeBoard,book-author,who-wrote-book
"Who is the author of the book ""Bleach―ブリーチ― 33 [Burīchi 33]""?",Tite Kubo,book-author,author-of-book
"Who wrote the book ""The Zero Marginal Cost Society: The Internet of Things, the Collaborative Commons, and the Eclipse of Capitalism""?",Jeremy Rifkin,book-author,who-wrote-book
"Who wrote the book ""The Art of Teaching""?",Jay Parini,book-author,who-wrote-book
"Who is the author of the book ""The United States Constitution""?",United States,book-author,author-of-book
"Who wrote the book ""Grace for the Moment: Inspirational Thoughts for Each Day of the Year, Volume 1""?",Max Lucado,book-author,who-wrote-book
"Who is the author of the book ""Imaginary Lands""?",Robin McKinley,book-author,author-of-book
"Who wrote the book ""Because She Loves Me""?",Mark Edwards,book-author,who-wrote-book
"Who is the author of the book ""The Island of Excess Love""?",Francesca Lia Block,book-author,author-of-book
"Who is the author of the book ""Song for the Basilisk""?",Patricia A. McKillip,book-author,author-of-book
"Who wrote the book ""The Victoria Vanishes""?",Christopher Fowler,book-author,who-wrote-book
"Who is the author of the book ""Shakespearean Negotiations: The Circulation of Social Energy in Renaissance England""?",Stephen Greenblatt,book-author,author-of-book
"Who wrote the book ""The Left Behind Collection""?",Tim LaHaye,book-author,who-wrote-book
"Who is the author of the book ""Lhind the Spy""?",Sherwood Smith,book-author,author-of-book
"Who wrote the book ""The Small Big: Small Changes That Spark Big Influence""?",Robert B. Cialdini,book-author,who-wrote-book
"Who is the author of the book ""How It Is""?",Samuel Beckett,book-author,author-of-book
"Who wrote the book ""The Complete Poems""?",D.H. Lawrence,book-author,who-wrote-book
"Who is the author of the book ""How to Measure Anything: Finding the Value of ""Intangibles"" in Business""?",Douglas W. Hubbard,book-author,author-of-book
"Who is the author of the book ""El cuerpo perfecto en cuatro horas""?",Timothy Ferris,book-author,author-of-book
"Who wrote the book ""Infiltration: The Plot to Destroy the Church from Within""?",Dr. Taylor Reed Marshall,book-author,who-wrote-book
"Who is the author of the book ""The Last Temptation""?",Val McDermid,book-author,author-of-book
"Who is the author of the book ""Memories of a Catholic Girlhood""?",Mary McCarthy,book-author,author-of-book
"Who wrote the book ""Meditation for Fidgety Skeptics: A 10% Happier How-To Book""?",Dan Harris,book-author,who-wrote-book
"Who wrote the book ""Leaving Before the Rains Come""?",Alexandra Fuller,book-author,who-wrote-book
"Who wrote the book ""We Should All Be Feminists""?",Chimamanda Ngozi Adichie,book-author,who-wrote-book
"Who wrote the book ""The Christmas Hope""?",Donna VanLiere,book-author,who-wrote-book
"Who is the author of the book ""Black Panther: World of Wakanda #1""?",Ta-Nehisi Coates,book-author,author-of-book
"Who is the author of the book ""Springwater""?",Linda Lael Miller,book-author,author-of-book
"Who is the author of the book ""Stand Still Like the Hummingbird""?",Henry Miller,book-author,author-of-book
"Who wrote the book ""With Speed and Violence: Why Scientists Fear Tipping Points in Climate Change""?",Fred Pearce,book-author,who-wrote-book
"Who is the author of the book ""The Next Queen of Heaven""?",Gregory Maguire,book-author,author-of-book
"Who wrote the book ""A orillas del río Piedra me senté y lloré""?",Paulo Coelho,book-author,who-wrote-book
"Who is the author of the book ""Malone Dies""?",Samuel Beckett,book-author,author-of-book
"Who is the author of the book ""Thief of Time""?",Terry Pratchett,book-author,author-of-book
"Who is the author of the book ""Gold Dust Woman: The Biography of Stevie Nicks""?",Steven Davis,book-author,author-of-book
"Who wrote the book ""Paradise Valley""?",Robyn Carr,book-author,who-wrote-book
"Who is the author of the book ""Zami: A New Spelling of My Name""?",Audre Lorde,book-author,author-of-book
"Who wrote the book ""From the Mixed-Up Files of Mrs. Basil E. Frankweiler""?",E L Konigsburg,book-author,who-wrote-book
"Who wrote the book ""Los hermanos Karamazov""?",Fyodor Dostoyevsky,book-author,who-wrote-book
"Who is the author of the book ""Victoria's Daughters""?",Jerrold M. Packard,book-author,author-of-book
"Who is the author of the book ""Fail, Fail Again, Fail Better: Wise Advice for Leaning into the Unknown""?",Pema Chödrön,book-author,author-of-book
"Who wrote the book ""Sweet Salt Air""?",Barbara Delinsky,book-author,who-wrote-book
"Who is the author of the book ""Heretic""?",Bernard Cornwell,book-author,author-of-book
"Who is the author of the book ""The Sketch Book by Washington Irving with Sketch of the Author's Life, and Compositional, Critical and Explanatory Notes / By G.A. Chase""?",Washington Irving,book-author,author-of-book
"Who is the author of the book ""The World Doesn't End""?",Charles Simic,book-author,author-of-book
"Who is the author of the book ""Lucy Maud Montgomery Short Stories: 1896 to 1901""?",L.M. Montgomery,book-author,author-of-book
"Who is the author of the book ""Intruder in the Dust""?",William Faulkner,book-author,author-of-book
"Who is the author of the book ""Have Space Suit-Will Travel""?",Robert A. Heinlein,book-author,author-of-book
"Who is the author of the book ""The Story of the Siren""?",E.M. Forster,book-author,author-of-book
"Who is the author of the book ""The Council of the Cursed""?",Peter Tremayne,book-author,author-of-book
"Who wrote the book ""The You I Never Knew""?",Susan Wiggs,book-author,who-wrote-book
"Who wrote the book ""You Can't Keep a Good Woman Down: Short Stories""?",Alice Walker,book-author,who-wrote-book
"Who wrote the book ""I Know Why the Caged Bird Sings""?",Maya Angelou,book-author,who-wrote-book
"Who wrote the book ""Islam: A Short History""?",Karen Armstrong,book-author,who-wrote-book
"Who wrote the book ""Una historia de Dios: 4000 años de búsqueda en el judaísmo, el cristianismo y el islam""?",Karen Armstrong,book-author,who-wrote-book
"Who is the author of the book ""The Way of the Superior Man""?",David Deida,book-author,author-of-book
"Who wrote the book ""The Laws of Love: Creating the Relationship of Your Dreams""?",Chris Prentiss,book-author,who-wrote-book
"Who wrote the book ""Adam Bede""?",George Eliot,book-author,who-wrote-book
"Who is the author of the book ""Eight Blonde Dolls""?",Bobby Underwood,book-author,author-of-book
"Who wrote the book ""Old Friends""?",Tracy Kidder,book-author,who-wrote-book
"Who is the author of the book ""The Beautiful Struggle: A Father, Two Sons, and an Unlikely Road to Manhood""?",Ta-Nehisi Coates,book-author,author-of-book
"Who wrote the book ""Ready For Anything: 52 productivity principles for work and life""?",David Allen,book-author,who-wrote-book
"Who wrote the book ""The Gods of Riverworld""?",Philip José Farmer,book-author,who-wrote-book
"Who is the author of the book ""The Beat Goes On""?",Ian Rankin,book-author,author-of-book
"Who wrote the book ""The Gangs of New York""?",Herbert Asbury,book-author,who-wrote-book
"Who wrote the book ""Her Body and Other Parties""?",Carmen Maria Machado,book-author,who-wrote-book
"Who is the author of the book ""Breaking Bread: Insurgent Black Intellectual Life""?",Cornel West,book-author,author-of-book
"Who wrote the book ""Death of a Salesman: Text and Criticism""?",Arthur Miller,book-author,who-wrote-book
"Who wrote the book ""The Geek Feminist Revolution""?",Kameron Hurley,book-author,who-wrote-book
"Who wrote the book ""Their Virgin Concubine""?",Shayla Black,book-author,who-wrote-book
"Who wrote the book ""The Power of Vulnerability: Teachings of Authenticity, Connections and Courage""?",Brené Brown,book-author,who-wrote-book
"Who is the author of the book ""How to Be Here: A Guide to Creating a Life Worth Living""?",Rob Bell,book-author,author-of-book
"Who is the author of the book ""In Search of Lost Time [volumes 1 to 7]""?",Marcel Proust,book-author,author-of-book
"Who wrote the book ""Esther: It's Tough Being a Woman [With 6 DVDs and Leader Guide, Member Book]""?",Beth Moore,book-author,who-wrote-book
"Who is the author of the book ""Something I've Been Meaning to Tell You: 13 Stories""?",Alice Munro,book-author,author-of-book
"Who wrote the book ""The Marian Option: God’s Solution to a Civilization in Crisis""?",Carrie Gress,book-author,who-wrote-book
"Who is the author of the book ""Heirs of the King: Living the Beatitudes""?",Warren W. Wiersbe,book-author,author-of-book
"Who is the author of the book ""The Art Of Getting Things Done: The Secret Of Highly Effective People.""?",Manoranjan Kumar,book-author,author-of-book
"Who is the author of the book ""Dandy""?",Jan Guillou,book-author,author-of-book
"Who wrote the book ""Don Quijote de la Mancha 2""?",Miguel de Cervantes Saavedra,book-author,who-wrote-book
"Who is the author of the book ""The Room""?",Hubert Selby Jr.,book-author,author-of-book
"Who is the author of the book ""The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution""?",Walter Isaacson,book-author,author-of-book
"Who is the author of the book ""Secret Sisters of the Salty Sea""?",Lynne Rae Perkins,book-author,author-of-book
"Who is the author of the book ""Jesus: The Greatest Life of All""?",Charles R. Swindoll,book-author,author-of-book
"Who wrote the book ""The Lonely Hearts Hotel""?",Heather O'Neill,book-author,who-wrote-book
"Who is the author of the book ""The Sleep Tight Motel""?",Lisa Unger,book-author,author-of-book
"Who wrote the book ""The Man Who Followed Jack Kerouac""?",Christina Westover,book-author,who-wrote-book
"Who wrote the book ""First Comes Love""?",Emily Giffin,book-author,who-wrote-book
"Who wrote the book ""Deadlock""?",James Scott Bell,book-author,who-wrote-book
"Who is the author of the book ""En busca de la felycidad""?",Chris Gardner,book-author,author-of-book
"Who is the author of the book ""The Cruel Way: Switzerland to Afghanistan in a Ford, 1939""?",Ella Maillart,book-author,author-of-book
"Who wrote the book ""Lateral Thinking: Creativity Step by Step""?",Edward de Bono,book-author,who-wrote-book
"Who wrote the book ""From Socrates to Sartre: The Philosophic Quest""?",T.Z. Lavine,book-author,who-wrote-book
"Who is the author of the book ""Joyland""?",Stephen King,book-author,author-of-book
"Who wrote the book ""Essentials of Classic Italian Cooking""?",Marcella Hazan,book-author,who-wrote-book
"Who wrote the book ""From the Moment We Met""?",Marina Adair,book-author,who-wrote-book
"Who is the author of the book ""Journey""?",Danielle Steel,book-author,author-of-book
"Who is the author of the book ""It's Not About Perfect: Competing for My Country and Fighting for My Life""?",Shannon Miller,book-author,author-of-book
"Who wrote the book ""Experiences in translation""?",Umberto Eco,book-author,who-wrote-book
"Who wrote the book ""Crimini e misfatti""?",Woody Allen,book-author,who-wrote-book
"Who is the author of the book ""At Home in Stone Creek""?",Linda Lael Miller,book-author,author-of-book
"Who is the author of the book ""By Grand Central Station I Sat Down and Wept""?",Elizabeth Smart,book-author,author-of-book
"Who is the author of the book ""Order 66:""?",Karen Traviss,book-author,author-of-book
"Who is the author of the book ""The Day Room""?",Don DeLillo,book-author,author-of-book
"Who is the author of the book ""The Magic World""?",E. Nesbit,book-author,author-of-book
"Who is the author of the book ""Risvegli""?",Oliver Sacks,book-author,author-of-book
"Who wrote the book ""The Power of a Praying® Wife""?",Stormie Omartian,book-author,who-wrote-book
"Who wrote the book ""Breakable""?",Tammara Webber,book-author,who-wrote-book
"Who wrote the book ""The Consolations of Philosophy""?",Alain de Botton,book-author,who-wrote-book
"Who wrote the book ""The Time of the Assassins:  a Study of Rimbaud""?",Henry Miller,book-author,who-wrote-book
"Who is the author of the book ""Little Miss Stoneybrook... and Dawn""?",Ann M. Martin,book-author,author-of-book
"Who wrote the book ""Obras Completas de Julio Verne""?",Jules Verne,book-author,who-wrote-book
"Who wrote the book ""Caught Stealing""?",Charlie Huston,book-author,who-wrote-book
"Who wrote the book ""The White Devil""?",John Webster,book-author,who-wrote-book
"Who is the author of the book ""The Decline and Fall of the American Empire""?",Gore Vidal,book-author,author-of-book
"Who is the author of the book ""Firefly Beach""?",Luanne Rice,book-author,author-of-book
"Who is the author of the book ""Home Girls: A Black Feminist Anthology""?",Alice Walker,book-author,author-of-book
"Who wrote the book ""Broken Republic: Three Essays""?",Arundhati Roy,book-author,who-wrote-book
"Who wrote the book ""Nothing's Fair in Fifth Grade""?",Barthe DeClements,book-author,who-wrote-book
"Who wrote the book ""Wolves of the Calla""?",Roland Deschain (Stephen King),book-author,who-wrote-book
"Who wrote the book ""Darkwater: Voices from Within the Veil""?",W.E.B. Du Bois,book-author,who-wrote-book
"Who wrote the book ""Stories of Invention, Told by Inventors and their Friends""?",Edward Everett Hale,book-author,who-wrote-book
"Who is the author of the book ""Bad Boys Online""?",Erin McCarthy,book-author,author-of-book
"Who is the author of the book ""Do It Anyway: The New Generation of Activists""?",Courtney E. Martin,book-author,author-of-book
"Who is the author of the book ""Eichmann in Jerusalem - A Report on the Banality of Evil""?",Hannah Arendt,book-author,author-of-book
"Who is the author of the book ""Seven Dirty Words: The Life and Crimes of George Carlin""?",James Sullivan,book-author,author-of-book
"Who wrote the book ""Louisiana's Way Home""?",Kate DiCamillo,book-author,who-wrote-book
"Who is the author of the book ""Diana: The Goddess Who Hunts Alone""?",Carlos Fuentes,book-author,author-of-book
"Who wrote the book ""Call Them by Their True Names: American Crises""?",Rebecca Solnit,book-author,who-wrote-book
"Who wrote the book ""Ennead 1/On the Life of Plotinus""?",A.H. Armstrong,book-author,who-wrote-book
"Who wrote the book ""Secrets of a Freelance Writer, Third Edition: How to Make $100,000 a Year or More""?",Robert W. Bly,book-author,who-wrote-book
"Who wrote the book ""Forest Mage""?",Robin Hobb,book-author,who-wrote-book
"Who wrote the book ""Edgar Allan Poe: Selected Poems""?",Edgar Allan Poe,book-author,who-wrote-book
"Who is the author of the book ""The Bonfire of the Vanities""?",Tom Wolfe,book-author,author-of-book
"Who is the author of the book ""The Girl in Room Fourteen""?",Carol Drinkwater,book-author,author-of-book
"Who is the author of the book ""Testaments Betrayed: An Essay in Nine Parts""?",Milan Kundera,book-author,author-of-book
"Who is the author of the book ""On Bullshit""?",Harry G. Frankfurt,book-author,author-of-book
"Who wrote the book ""Thus Spoke Zarathustra""?",Friedrich Nietzsche,book-author,who-wrote-book
"Who is the author of the book ""The Shackleton Sabotage""?",Gertrude Chandler Warner,book-author,author-of-book
"Who wrote the book ""El Poder Contra La Fuerza""?",David R. Hawkins,book-author,who-wrote-book
"Who is the author of the book ""The Culture Clash""?",Jean Donaldson,book-author,author-of-book
"Who wrote the book ""Jane Austen's Letters""?",Jane Austen,book-author,who-wrote-book
"Who is the author of the book ""Rant: An Oral Biography of Buster Casey""?",Chuck Palahniuk,book-author,author-of-book
"Who is the author of the book ""The Mind Parasites""?",Colin Wilson,book-author,author-of-book
"Who is the author of the book ""Prison Notebooks: Volume I""?",Antonio Gramsci,book-author,author-of-book
"Who wrote the book ""Blonde Hair, Blue Eyes""?",Karin Slaughter,book-author,who-wrote-book
"Who wrote the book ""The Darkness that Comes Before""?",R. Scott Bakker,book-author,who-wrote-book
"Who wrote the book ""Indian Summer""?",William Dean Howells,book-author,who-wrote-book
"Who wrote the book ""Der Butt""?",Günter Grass,book-author,who-wrote-book
"Who wrote the book ""Kiss My Asterisk: A Feisty Guide to Punctuation and Grammar""?",Jenny Baranick,book-author,who-wrote-book
"Who is the author of the book ""Dearie: The Remarkable Life of Julia Child""?",Bob Spitz,book-author,author-of-book
"Who is the author of the book ""Defiance of Eagles""?",William W. Johnstone,book-author,author-of-book
"Who is the author of the book ""The Barbizon Diaries: A Meditation on Will, Purpose, and the Value Of Stories""?",James A. Owen,book-author,author-of-book
"Who wrote the book ""Sometimes a Rogue""?",Mary Jo Putney,book-author,who-wrote-book
"Who wrote the book ""Unbridled""?",Young,book-author,who-wrote-book
"Who wrote the book ""I Funny: A Middle School Story""?",James Patterson,book-author,who-wrote-book
"Who is the author of the book ""Sebastopol in December""?",Leo Tolstoy,book-author,author-of-book
"Who is the author of the book ""Sometimes I Think I Hear My Name""?",Avi,book-author,author-of-book
"Who is the author of the book ""Ephesians: New Testament Commentary""?",John F. MacArthur Jr.,book-author,author-of-book
