question,answers
"Who is the author of the book ""Christine Feehan Ghostwalkers Novels 6-9""?",Christine Feehan
"Who is the author of the book ""Shock!""?",Graham Greene
"Who is the author of the book ""CliffsNotes on Heller's Catch-22""?",Joseph Heller
"Who is the author of the book ""Job: A Comedy of Justice""?",Robert A. Heinlein
"Who is the author of the book ""Fate Knows Best""?",Alanea Alder
"Who is the author of the book ""Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers""?",Timothy Ferriss
"Who is the author of the book ""The Elements of Expression: Putting Thoughts into Words""?",Arthur Plotnik
"Who is the author of the book ""Murphy""?",Samuel Beckett
"Who is the author of the book ""The Beatles: The Biography""?",Bob Spitz
"Who is the author of the book ""A Stricken Field""?",Martha Gellhorn
"Who is the author of the book ""Trentatré""?",Mirya
"Who is the author of the book ""The Story of Ireland: A History of the Irish People""?",Neil Hegarty
"Who is the author of the book ""Strange Pilgrims""?",Gabriel Garcí­a Márquez
"Who is the author of the book ""Técnicas prohibidas de Persuasión, manipulación e influencia usando patrones de lenguaje y técnicas de PNL (2a Edición): Cómo persuadir, influenciar y ... patrones de lenguaje y PNL""?",Steve Allen
"Who is the author of the book ""Thrive""?",Krista Ritchie
"Who is the author of the book ""Anne of Green Gables: 13 Books [Annotated]""?",L.M. Montgomery
"Who is the author of the book ""Reasons to Live""?",Amy Hempel
"Who is the author of the book ""Things I Wish I'd Known Before We Got Married""?",Gary Chapman
"Who is the author of the book ""The Science of Sherlock Holmes: From Baskerville Hall to the Valley of Fear, the Real Forensics Behind the Great Detective's Greatest Cases""?",E.J. Wagner
"Who is the author of the book ""The Man Who Came Uptown""?",George Pelecanos
"Who is the author of the book ""Georgette Heyer""?",Jennifer Kloester
"Who is the author of the book ""A New History of Western Philosophy""?",Anthony Kenny
"Who is the author of the book ""The Absolutist""?",John Boyne
"Who is the author of the book ""Dead Man's Folly""?",Agatha Christie
"Who is the author of the book ""Los barcos se pierden en tierra: Textos y artículos sobre barcos, mares y marinos""?",Arturo Pérez-Reverte
"Who is the author of the book ""The Bloody Chamber and Other Stories""?",Angela Carter
"Who is the author of the book ""The Queen of Kentucky""?",Alecia Whitaker
"Who is the author of the book ""I Sing the Body Electric! & Other Stories""?",Ray Bradbury
"Who is the author of the book ""Annie's Baby: The Diary of Anonymous, A Pregnant Teenager""?",Beatrice Sparks
"Who is the author of the book ""Unto Us a Son Is Given""?",Donna Leon
"Who is the author of the book ""A Host of Furious Fancies""?",Mercedes Lackey
"Who is the author of the book ""Devil's Gate""?",Clive Cussler
"Who is the author of the book ""9 Letters""?",Blake Austin
"Who is the author of the book ""Join Me!""?",Danny Wallace
"Who is the author of the book ""Must Love Dragons""?",Stephanie Rowe
"Who is the author of the book ""The Crimson Petal And The White""?",Michel Faber
"Who is the author of the book ""Thunderball""?",Ian Fleming
"Who is the author of the book ""Fireflies""?",David Morrell
"Who is the author of the book ""Keep It Shut: What to Say, How to Say It, and When to Say Nothing at All""?",Karen Ehman
"Who is the author of the book ""The Outsiders""?",S. E. Hinton
"Who is the author of the book ""Defending Your Faith: An Introduction to Apologetics""?",R.C. Sproul
"Who is the author of the book ""In the Beginning: The Story of the King James Bible and How It Changed a Nation, a Language, and a Culture""?",Alister E. McGrath
"Who is the author of the book ""Bryant & May and The Bleeding Heart""?",Christopher Fowler
"Who is the author of the book ""War and Peace""?",Leo Tolstoy
"Who is the author of the book ""Changes in the Land: Indians, Colonists, and the Ecology of New England""?",William Cronon
"Who is the author of the book ""The Right Moves""?",Emma Hart
"Who is the author of the book ""His Last Bow""?",Arthur Conan Doyle
"Who is the author of the book ""Messenger of Truth""?",Jacqueline Winspear
"Who is the author of the book ""Evil Under the Sun""?",Agatha Christie
"Who is the author of the book ""Born in the USA: How a Broken Maternity System Must Be Fixed to Put Women and Children First""?",Marsden Wagner
"Who is the author of the book ""Help Thanks Wow: The Three Essential Prayers""?",Anne Lamott
"Who is the author of the book ""The End of the World News""?",Anthony Burgess
"Who is the author of the book ""Jane Austen For Dummies""?",Joan Elizabeth Klingel Ray
"Who is the author of the book ""Fevre Dream""?",George R.R. Martin
"Who is the author of the book ""The Faerie Queene""?",Edmund Spenser
"Who is the author of the book ""Caroline: Little House, Revisited""?",Sarah Miller
"Who is the author of the book ""The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact""?",Susan C. Young
"Who is the author of the book ""The Fall of a Sparrow""?",Robert Hellenga
"Who is the author of the book ""The Porn Critic""?",Jonathan Lethem
"Who is the author of the book ""Kitchen Confidential: Adventures in the Culinary Underbelly""?",Anthony Bourdain
"Who is the author of the book ""Van je familie moet je het hebben""?",David Sedaris
"Who is the author of the book ""A Feast For Crows""?",George R.R. Martin
"Who is the author of the book ""Shopaholic to the Rescue""?",Sophie Kinsella
"Who is the author of the book ""The Little Drummer Girl""?",John le Carré
"Who is the author of the book ""The Heaviest Corner on Earth""?",Nadria Tucker
"Who is the author of the book ""Valley of Silence""?",Nora Roberts
"Who is the author of the book ""The Crisis of Islam: Holy War and Unholy Terror""?",Bernard Lewis
"Who is the author of the book ""Alchemical Studies""?",C.G. Jung
"Who is the author of the book ""Destination Void""?",Frank Herbert
"Who is the author of the book ""The Book of Man: Readings on the Path to Manhood""?",William J. Bennett
"Who is the author of the book ""The Sum of Our Days: A Memoir""?",Isabel Allende
"Who is the author of the book ""As the Pig Turns""?",M.C. Beaton
"Who is the author of the book ""Shibumi""?",Trevanian
"Who is the author of the book ""Rogue Lawyer""?",John Grisham
"Who is the author of the book ""Bhagavad-gita As It Is""?",Anonymous
"Who is the author of the book ""Slapstick, or Lonesome No More!""?",Kurt Vonnegut
"Who is the author of the book ""The Cypress House""?",Michael Koryta
"Who is the author of the book ""A Ponte para a eternidade""?",Richard Bach
"Who is the author of the book ""No Man's Mistress""?",Mary Balogh
"Who is the author of the book ""Believing God Day by Day: Growing Your Faith All Year Long""?",Beth Moore
"Who is the author of the book ""In Pharaoh's Army: Memories of the Lost War""?",Tobias Wolff
"Who is the author of the book ""The CIA Doctors: Human Rights Violations By American Psychiatrists""?",Colin A. Ross
"Who is the author of the book ""Bleach―ブリーチ― 53 [Burīchi 53]""?",Tite Kubo
"Who is the author of the book ""Discipline Without Damage: How to Get Your Kids to Behave Without Messing Them Up""?",Vanessa Lapointe
"Who is the author of the book ""The Sweetness at the Bottom of the Pie""?",Alan Bradley
"Who is the author of the book ""Being a Dad Who Leads""?",John F. MacArthur Jr.
"Who is the author of the book ""The Holy or the Broken""?",Alan Light
"Who is the author of the book ""The Coldest Girl in Coldtown: Free Preview Edition: The First 8 Chapters""?",Holly Black
"Who is the author of the book ""Saint Thomas Aquinas and Saint Francis of Assisi""?",G. K. Chesterton
"Who is the author of the book ""The Power Of Babel: A Natural History of Language""?",John McWhorter
"Who is the author of the book ""The Anne Stories (Anne of Green Gables, #1-3, 5, 7-8)""?",L.M. Montgomery
"Who is the author of the book ""The Virgin's Lover""?",Philippa Gregory
"Who is the author of the book ""Long Quiet Highway: Waking Up in America""?",Natalie Goldberg
"Who is the author of the book ""Soldiers Three""?",Rudyard Kipling
"Who is the author of the book ""The Witness""?",Nora Roberts
"Who is the author of the book ""Marley and Me: Life and Love With the World's Worst Dog""?",John Grogan
"Who is the author of the book ""The Flowers of Evil & Paris Spleen""?",Charles Baudelaire
"Who is the author of the book ""How to Ruin My Teenage Life""?",Simone Elkeles
"Who is the author of the book ""The Children of Abraham: Judaism, Christianity, Islam""?",F.E. Peters
"Who is the author of the book ""Jim Butcher's The Dresden Files: Storm Front, Volume 1: The Gathering Storm""?",Jim Butcher
"Who is the author of the book ""The Complete Little Women Series""?",Louisa May Alcott
"Who is the author of the book ""Summa Philosophica""?",Peter Kreeft
"Who is the author of the book ""The Works of Gilbert Keith Chesterton""?",G.K. Chesterton
"Who is the author of the book ""Gentle Warrior""?",Julie Garwood
"Who is the author of the book ""The Irrational Season""?",Madeleine L'Engle
"Who is the author of the book ""The Daemon Knows: Literary Greatness and the American Sublime""?",Harold Bloom
"Who is the author of the book ""Super Structure: The Key to Unleashing the Power of Story""?",James Scott Bell
"Who is the author of the book ""The Cat in the Hat""?",Dr. Seuss
"Who is the author of the book ""The Bell""?",Iris Murdoch
"Who is the author of the book ""She's the Boss""?",Lisa Lim
"Who is the author of the book ""The Book of Merlyn""?",T.H. White
"Who is the author of the book ""Winter: Five Windows on the Season""?",Adam Gopnik
"Who is the author of the book ""Flowers of Evil and Other Works/Les Fleurs du Mal et Oeuvres Choisies : A Dual-Language Book (Dover Foreign Language Study Guides)""?",Charles Baudelaire
"Who is the author of the book ""The Confessions of Saint Augustine""?",Saint Augustine of Hippo
"Who is the author of the book ""A Summer to Die""?",Lois Lowry
"Who is the author of the book ""Jack of Spades""?",Joyce Carol Oates
"Who is the author of the book ""Bel Canto""?",Ann Patchett
"Who is the author of the book ""The Collected Poetry of Malcolm Lowry""?",Malcolm Lowry
"Who is the author of the book ""Traitors' Gate""?",Kate Elliott
"Who is the author of the book ""Death of a Celebrity""?",M.C. Beaton
"Who is the author of the book ""Lords And Ladies""?",Terry Pratchett
"Who is the author of the book ""The Lion Hunter""?",Elizabeth Wein
"Who is the author of the book ""A Short, Sharp Shock""?",Kim Stanley Robinson
"Who is the author of the book ""Discourse on the Origin of Inequality""?",Jean-Jacques Rousseau
"Who is the author of the book ""Maverick""?",Lora Leigh
"Who is the author of the book ""Killing Floor""?",Lee Child
"Who is the author of the book ""Sherlock Holmes: The Complete Novels and Stories, Volume I""?",Arthur Conan Doyle
"Who is the author of the book ""Dead Witch Walking""?",Kim Harrison
"Who is the author of the book ""Straw for the Fire: From the Notebooks of Theodore Roethke""?",Theodore Roethke
"Who is the author of the book ""The Secret Island""?",Enid Blyton
"Who is the author of the book ""The End of the Beginning: Being the Adventures of a Small Snail""?",Avi
"Who is the author of the book ""Naughtiest Girl Collection""?",Enid Blyton
"Who is the author of the book ""Christmas Revels""?",Mary Jo Putney
"Who is the author of the book ""Personal Development for Smart People: The Conscious Pursuit of Personal Growth""?",Steve Pavlina
"Who is the author of the book ""Out of Africa / Shadows on the Grass""?",Isak Dinesen
"Who is the author of the book ""The Protector's War""?",S.M. Stirling
"Who is the author of the book ""Shakespeare Wrote for Money""?",Nick Hornby
"Who is the author of the book ""Interzone""?",William S. Burroughs
"Who is the author of the book ""Odas de Ricardo Reis""?",Fernando Pessoa
"Who is the author of the book ""The Jesus I Never Knew""?",Philip Yancey
"Who is the author of the book ""Afterworlds""?",Scott Westerfeld
"Who is the author of the book ""Hold Me Tight: Seven Conversations for a Lifetime of Love""?",Sue Johnson
"Who is the author of the book ""Free Fall in Crimson""?",John D. MacDonald
"Who is the author of the book ""Rita Hayworth and Shawshank Redemption: A Story from Different Seasons""?",Stephen King
"Who is the author of the book ""Rudyard Kipling's Tales of Horror and Fantasy""?",Rudyard Kipling
"Who is the author of the book ""Into the Garden""?",V.C. Andrews
"Who is the author of the book ""Rise of a Merchant Prince""?",Raymond E. Feist
"Who is the author of the book ""Heir of Novron""?",Michael J. Sullivan
"Who is the author of the book ""The Demon-Haunted World: Science as a Candle in the Dark""?",Carl Sagan
"Who is the author of the book ""Manage Your Day-To-Day: Build Your Routine, Find Your Focus, and Sharpen Your Creative Mind""?",Jocelyn K. Glei
"Who is the author of the book ""Aftermath""?",Peter Robinson
"Who is the author of the book ""The Beggar, The Thief and the Dogs, Autumn Quail""?",Naguib Mahfouz
"Who is the author of the book ""The Same Stuff as Stars""?",Katherine Paterson
"Who is the author of the book ""Race Matters""?",Cornel West
"Who is the author of the book ""Boss Man""?",Diana Palmer
"Who is the author of the book ""Why I Left Harry's All-Night Hamburgers""?",Lawrence Watt-Evans
"Who is the author of the book ""The Callahan Touch""?",Spider Robinson
"Who is the author of the book ""The Innovator's Dilemma with Award-Winning Harvard Business Review Article ?how Will You Measure Your Life""?",Clayton M. Christensen
"Who is the author of the book ""Your Presentation is a Joke: Using Humor to Maximize Your Impact""?",Marshall Chiles
"Who is the author of the book ""Breaking Open the Head: A Psychedelic Journey into the Heart of Contemporary Shamanism""?",Daniel Pinchbeck
"Who is the author of the book ""The Tyranny of Experts: Economists, Dictators, and the Forgotten Rights of the Poor""?",William Easterly
"Who is the author of the book ""Bellwether""?",Connie Willis
"Who is the author of the book ""Watch Wolf""?",Kathryn Lasky
"Who is the author of the book ""Independence Day: Bascombe Trilogy (2)""?",Richard Ford
"Who is the author of the book ""Madam, Will You Talk?""?",Mary Stewart
"Who is the author of the book ""Black Dogs""?",Ian McEwan
"Who is the author of the book ""Revolutions in Reverse: Essays on Politics, Violence, Art, and Imagination""?",David Graeber
"Who is the author of the book ""The Shelfless Book: How We Made Our First Million on Kindle""?",Bob Mayer
"Who is the author of the book ""One Summer: America 1927""?",Bill Bryson
"Who is the author of the book ""Maggie's Dad""?",Diana Palmer
"Who is the author of the book ""Low Midnight""?",Carrie Vaughn
"Who is the author of the book ""The Science of Meditation: How to Change Your Brain, Mind and Body""?",Daniel Goleman
"Who is the author of the book ""Friends Divided: John Adams and Thomas Jefferson""?",Gordon S. Wood
"Who is the author of the book ""Losing Mum and Pup""?",Christopher Buckley
"Who is the author of the book ""Annihilation""?",Drew Karpyshyn
"Who is the author of the book ""My Life as an Experiment""?",A.J. Jacobs
"Who is the author of the book ""Be Careful What You Wish For""?",Jeffrey Archer
"Who is the author of the book ""Proofiness: The Dark Arts of Mathematical Deception""?",Charles Seife
"Who is the author of the book ""Good Husband Material""?",Susan Mallery
"Who is the author of the book ""El Ingenioso Hidalgo Don Quijote de La Mancha, 15""?",Miguel de Cervantes Saavedra
"Who is the author of the book ""The Beginning""?",Catherine Coulter
"Who is the author of the book ""The Rise and Fall of the Great Powers""?",Paul Kennedy
"Who is the author of the book ""Space""?",James A. Michener
"Who is the author of the book ""We Are Always Watching""?",Hunter Shea
"Who is the author of the book ""Saint""?",A. Zavarelli
"Who is the author of the book ""The Athena Project""?",Brad Thor
"Who is the author of the book ""Virtual Unreality: Just Because the Internet Told You, How Do You Know It's True?""?",Charles Seife
"Who is the author of the book ""Swimming Lessons""?",Mary Alice Monroe
"Who is the author of the book ""The Spiral Dance: A Rebirth of the Ancient Religions of the Great Goddess""?",Starhawk
"Who is the author of the book ""Elske""?",Cynthia Voigt
"Who is the author of the book ""Another Life: A Memoir of Other People""?",Michael Korda
"Who is the author of the book ""Autumn Bones""?",Jacqueline Carey
"Who is the author of the book ""Skin in the Game: The Hidden Asymmetries in Daily Life""?",Nassim Nicholas Taleb
"Who is the author of the book ""Absaroka Ambush / Courage of the Mountain Man""?",William W. Johnstone
"Who is the author of the book ""Paper Girls, Vol. 6""?",Brian K. Vaughan
"Who is the author of the book ""You Can Understand The Bible: A Practical Guide to Each Book in the Bible""?",Peter Kreeft
"Who is the author of the book ""Fire Study""?",Maria V. Snyder
"Who is the author of the book ""Jimmy Corrigan: El Chico más Listo del Mundo""?",Chris Ware
"Who is the author of the book ""A Stillness at Appomattox: The Army of the Potomac Trilogy""?",Bruce Catton
"Who is the author of the book ""Healing and Recovery""?",David R. Hawkins
"Who is the author of the book ""Pathfinder""?",Orson Scott Card
"Who is the author of the book ""Bir Cöküsün Öyküsü""?",Stefan Zweig
"Who is the author of the book ""Mere Apologetics: How to Help Seekers and Skeptics Find Faith""?",Alister E. McGrath
"Who is the author of the book ""The Solace Of Leaving Early""?",Haven Kimmel
"Who is the author of the book ""Piercing the Darkness""?",Frank E. Peretti
"Who is the author of the book ""Like Love""?",Ed McBain
"Who is the author of the book ""God's Generals Why They Succeeded and Why Some Fail""?",Roberts Liardon
"Who is the author of the book ""Song of the Silent Snow""?",Hubert Selby Jr.
"Who is the author of the book ""A Day to Pick Your Own Cotton""?",Michael R. Phillips
"Who is the author of the book ""Whiskey Tango Foxtrot""?",David Shafer
"Who is the author of the book ""Cleopatra""?",H. Rider Haggard
"Who is the author of the book ""Angel's Peak""?",Robyn Carr
"Who is the author of the book ""When Baghdad Ruled the Muslim World: The Rise and Fall of Islam's Greatest Dynasty""?",Hugh Kennedy
"Who is the author of the book ""Psychology of the Future: Lessons from Modern Consciousness Research""?",Joseph Campbell
"Who is the author of the book ""Cruel Intent""?",J.A. Jance
"Who is the author of the book ""The Second Confession""?",Rex Stout
"Who is the author of the book ""The Origins of Totalitarianism""?",Hannah Arendt
"Who is the author of the book ""Wolves of the Beyond""?",Kathryn Lasky
"Who is the author of the book ""Ravensong""?",T.J. Klune
"Who is the author of the book ""Night Film""?",Marisha Pessl
"Who is the author of the book ""Tough Shit: Life Advice from a Fat, Lazy Slob Who Did Good""?",Kevin Smith
"Who is the author of the book ""Being Perfect""?",Anna Quindlen
"Who is the author of the book ""Hey Rube: Blood Sport, the Bush Doctrine, and the Downward Spiral of Dumbness: Modern History from the ESPN.com Sports Desk""?",Hunter S. Thompson
"Who is the author of the book ""D Is For Deadbeat""?",Sue Grafton
"Who is the author of the book ""Meditations and Devotions of the Late Cardinal Newman""?",John Henry Newman
"Who is the author of the book ""Onward: Engaging the Culture without Losing the Gospel""?",Russell D. Moore
"Who is the author of the book ""The School of Greatness: A Real-World Guide to Living Bigger, Loving Deeper, and Leaving a Legacy""?",Lewis Howes
"Who is the author of the book ""Zen and the Art of Writing and the Joy of Writing: Two Essays""?",Ray Bradbury
"Who is the author of the book ""Magic Strikes""?",Ilona Andrews
"Who is the author of the book ""Once Was Lost""?",Sara Zarr
"Who is the author of the book ""The First World War: A Complete History""?",Martin Gilbert
"Who is the author of the book ""Aurora Leigh and Other Poems""?",Elizabeth Barrett Browning
"Who is the author of the book ""The Black Cauldron""?",Lloyd Alexander
"Who is the author of the book ""The Superhero Reader""?",Charles Hatfield
"Who is the author of the book ""The Art of Always Being Right""?",Arthur Schopenhauer
"Who is the author of the book ""The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny""?",Robin S. Sharma
"Who is the author of the book ""Why Won’t You Apologize?: Healing Big Betrayals and Everyday Hurts""?",Harriet Lerner
"Who is the author of the book ""They Both Die at the End""?",Adam Silvera
"Who is the author of the book ""Blackberry Pie Murder""?",Joanne Fluke
"Who is the author of the book ""Sleeping Murder""?",Agatha Christie
"Who is the author of the book ""Liar's Poker""?",Michael Lewis
"Who is the author of the book ""Hogwarts: An Incomplete and Unreliable Guide""?",J.K. Rowling
"Who is the author of the book ""Almost Heaven""?",Judith McNaught
"Who is the author of the book ""Remember Tuesday Morning""?",Karen Kingsbury
"Who is the author of the book ""Boy on a Wire""?",Jon Doust
"Who is the author of the book ""On Becoming a Leader""?",Warren G. Bennis
"Who is the author of the book ""Jesus and the Eyewitnesses: The Gospels as Eyewitness Testimony""?",Richard Bauckham
"Who is the author of the book ""The Reluctant Reformer""?",Lynsay Sands
"Who is the author of the book ""Shadowbahn""?",Steve Erickson
"Who is the author of the book ""Genius: The Life and Science of Richard Feynman""?",James Gleick
"Who is the author of the book ""The Temple of My Familiar""?",Alice Walker
"Who is the author of the book ""Girl in a Cage""?",Jane Yolen
"Who is the author of the book ""Darkness Visible""?",William Golding
"Who is the author of the book ""Bloodfever""?",Karen Marie Moning
"Who is the author of the book ""The Assassin and the Underworld""?",Sarah J. Maas
"Who is the author of the book ""Letters from Lizzie""?",Nancy B. Brewer
"Who is the author of the book ""Flood Tide""?",Clive Cussler
"Who is the author of the book ""My not so perfect life ; The Twelve dogs of Christmas ; Don't you cry ; Home sweet home""?",Sophie Kinsella
"Who is the author of the book ""Pandemic: Tracking Contagions, from Cholera to Ebola and Beyond""?",Sonia Shah
"Who is the author of the book ""What Is Faith?""?",R.C. Sproul
"Who is the author of the book ""Cosmopolitanism: Ethics in a World of Strangers""?",Kwame Anthony Appiah
"Who is the author of the book ""Before the Poison""?",Peter Robinson
"Who is the author of the book ""TARZAN OF THE APES SERIES - Complete Collection: 25 Novels in One Volume (Illustrated): The Return of Tarzan, The Beasts of Tarzan, The Son of Tarzan, ... Lion, Tarzan the Terrible and many more""?",Edgar Rice Burroughs
"Who is the author of the book ""Father Goriot""?",Honoré de Balzac
"Who is the author of the book ""The Once and Future King: Camelot""?",T. H. White
"Who is the author of the book ""Be Extraordinary: The Greatness Guide Book Two: 101 More Insights to Get You to World Class: Bk. 2""?",Robin S. Sharma
"Who is the author of the book ""Un viaje de diez metros""?",Richard C. Morais
"Who is the author of the book ""The Penelopiad: The Myth of Penelope and Odysseus""?",Margaret Atwood
"Who is the author of the book ""The Adams-Jefferson Letters: The Complete Correspondence Between Thomas Jefferson and Abigail and John Adams""?",John Adams
"Who is the author of the book ""So You've Been Publicly Shamed""?",Jon Ronson
"Who is the author of the book ""The Golden Compass""?",Philip Pullman
"Who is the author of the book ""Parade's End: Based on the Novel""?",Tom Stoppard
"Who is the author of the book ""Christmas Eve at Friday Harbor""?",Lisa Kleypas
"Who is the author of the book ""The Guilty""?",David Baldacci
"Who is the author of the book ""Eight Months on Ghazzah Street""?",Hilary Mantel
"Who is the author of the book ""Sunset Express: An Elvis Cole Novel""?",Robert Crais
"Who is the author of the book ""The Varieties of Religious Experience""?",William James
"Who is the author of the book ""The Scourge of Muirwood""?",Jeff Wheeler
"Who is the author of the book ""Lettres à Milena""?",Franz Kafka
"Who is the author of the book ""Jesus-Shock""?",Peter Kreeft
"Who is the author of the book ""Wealth, Poverty and Politics: An International Perspective""?",Thomas Sowell
"Who is the author of the book ""Ursula K. Le Guin: Conversations on Writing""?",Ursula K. Le Guin
"Who is the author of the book ""King Charles II""?",Antonia Fraser
"Who is the author of the book ""Miss Me Not""?",Tiffany King
"Who is the author of the book ""Los Cantos de Jesús: Un año de devocionales diarios en Los Salmos""?",Timothy J. Keller
"Who is the author of the book ""A Boy's Will""?",Robert Frost
"Who is the author of the book ""Un paseo para recordar""?",Nicholas Sparks
"Who is the author of the book ""When Computers Were Human""?",David Alan Grier
"Who is the author of the book ""Hunchback of Notre Dame""?",Victor Hugo
"Who is the author of the book ""Under the Volcano""?",Malcolm Lowry
"Who is the author of the book ""Already Dead""?",Charlie Huston
"Who is the author of the book ""The Killer Angels: The Classic Novel of the Civil War""?",Michael Shaara
"Who is the author of the book ""The Classic Philip Jose Farmer 1952-1964""?",Philip José Farmer
"Who is the author of the book ""Before She Met Me""?",Julian Barnes
"Who is the author of the book ""Corey to the Rescue!""?",Meg Kimball
"Who is the author of the book ""Teaching the Dog to Read""?",Jonathan Carroll
"Who is the author of the book ""The Seer of Shadows""?",Avi
"Who is the author of the book ""Play the Piano Drunk Like a Percussion Instrument Until the Fingers Begin to Bleed a Bit""?",Charles Bukowski
"Who is the author of the book ""The Secret Power of Speaking God's Word""?",Joyce Meyer
"Who is the author of the book ""One""?",Richard Bach
"Who is the author of the book ""CSI Miami: Heat Wave""?",Max Allan Collins
"Who is the author of the book ""Anxious for Nothing: Finding Calm in a Chaotic World""?",Max Lucado
"Who is the author of the book ""Demian. Die Geschichte von Emil Sinclairs Jugend""?",Hermann Hesse
"Who is the author of the book ""Flatland / Sphereland""?",Edwin A. Abbott
"Who is the author of the book ""Lizzie After the War""?",Nancy B. Brewer
"Who is the author of the book ""69""?",Ryū Murakami
"Who is the author of the book ""Russka: The Novel of Russia""?",Edward Rutherfurd
"Who is the author of the book ""O, Juliet""?",Robin Maxwell
"Who is the author of the book ""Of a Fire on the Moon""?",Norman Mailer
"Who is the author of the book ""The King's Curse""?",Philippa Gregory
"Who is the author of the book ""Diamonds in the Shadow""?",Caroline B. Cooney
"Who is the author of the book ""Top Secret Twenty-one""?",Janet Evanovich
"Who is the author of the book ""Slumberland""?",Paul Beatty
"Who is the author of the book ""The Rock Orchard""?",Paula Wall
"Who is the author of the book ""Around The World In 80 Days, From The Earth To The Moon Direct, 200, 000 Leagues Under The Sea""?",Jules Verne
"Who is the author of the book ""The Second Coming""?",Walker Percy
"Who is the author of the book ""Death of a Naturalist""?",Seamus Heaney
"Who is the author of the book ""Christmas with Anne and Other Holiday Stories""?",L.M. Montgomery
"Who is the author of the book ""Down the Rabbit Hole: Curious Adventures and Cautionary Tales of a Former Playboy Bunny""?",Holly Madison
"Who is the author of the book ""Living the Lord's Prayer""?",David Timms
"Who is the author of the book ""True Colors""?",Karen Traviss
"Who is the author of the book ""Bitcoin Billionaires""?",Ben Mezrich
"Who is the author of the book ""Blood Born""?",Linda Howard
"Who is the author of the book ""Righteous""?",Joe Ide
"Who is the author of the book ""Slightly Wicked""?",Mary Balogh
"Who is the author of the book ""Kim""?",Rudyard Kipling
"Who is the author of the book ""Sadie in Love""?",Rochelle Distelheim
"Who is the author of the book ""Double Fold: Libraries and the Assault on Paper""?",Nicholson Baker
"Who is the author of the book ""Love in the Light""?",Laura Kaye
"Who is the author of the book ""Pebbles of Perception: How a Few Good Choices Make All The Difference""?",Laurence Endersen
"Who is the author of the book ""Cheat Sheet: Master Getting Things Done...In 2 Minutes - The Practical Summary of David Allen's Best Selling Book""?",2 Minute Insight
"Who is the author of the book ""The System of Objects""?",Jean Baudrillard
"Who is the author of the book ""Witness in Death""?",J.D. Robb
"Who is the author of the book ""Living Reed: A Novel of Korea""?",Pearl S. Buck
"Who is the author of the book ""The Goddess and Other Women""?",Joyce Carol Oates
"Who is the author of the book ""Five Quarters of the Orange""?",Joanne Harris
"Who is the author of the book ""Johnny's Cash and Charley's Pride: Lasting Legends and Untold Adventures in Country Music""?",Peter Cooper
"Who is the author of the book ""A Dance to the Music of Time: 2nd Movement""?",Anthony Powell
"Who is the author of the book ""The Stone Gods""?",Jeanette Winterson
"Who is the author of the book ""Piece Of My Heart""?",Peter Robinson
"Who is the author of the book ""LOUISA MAY ALCOTT Ultimate Collection: 16 Novels & 150+ Short Stories, Plays and Poems (Illustrated): Little Women, Good Wives, Little Men, Jo's Boys, ... The Abbot's Ghost, A Garland for Girls…""?",Louisa May Alcott
"Who is the author of the book ""Freedom""?",Jonathan Franzen
"Who is the author of the book ""Bailey's Café""?",Gloria Naylor
"Who is the author of the book ""Why I Write""?",George Orwell
"Who is the author of the book ""Third Year at Malory Towers (Malory Towers""?",Enid Blyton
"Who is the author of the book ""No Ordinary Genius: The Illustrated Richard Feynman""?",Richard P. Feynman
"Who is the author of the book ""The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny""?",Robin S. Sharma
"Who is the author of the book ""Yours Until Dawn""?",Teresa Medeiros
"Who is the author of the book ""Stealing America: What My Experience with Criminal Gangs Taught Me about Obama, Hillary, and the Democratic Party""?",Dinesh D'Souza
"Who is the author of the book ""Live And Let Die""?",Ian Fleming
"Who is the author of the book ""De la Terre a la Lune""?",Jules Verne
"Who is the author of the book ""The Complete Anne of Green Gables""?",L.M. Montgomery
"Who is the author of the book ""Leonardo's Mountain of Clams and the Diet of Worms: Essays on Natural History""?",Stephen Jay Gould
"Who is the author of the book ""My Mortal Enemy""?",Willa Cather
"Who is the author of the book ""The Dead Man in Indian Creek""?",Mary Downing Hahn
"Who is the author of the book ""The Beginning of Everything""?",Robyn Schneider
"Who is the author of the book ""The Worm Ouroboros [Illustrated]""?",E.R. Eddison
"Who is the author of the book ""Cartas a Clara""?",Juan Rulfo
"Who is the author of the book ""Poems and Essays""?",Edgar Allan Poe
"Who is the author of the book ""Business for Bohemians: Freedom Through Creativity""?",Tom Hodgkinson
"Who is the author of the book ""The Thanatos Syndrome""?",Walker Percy
"Who is the author of the book ""The Portable Stephen Crane""?",Stephen Crane
"Who is the author of the book ""Forbidden Pleasure""?",Lora Leigh
"Who is the author of the book ""Memoirs of My Life""?",Edward Gibbon
"Who is the author of the book ""The White Glove War""?",Katie Crouch & Grady Hendrix
"Who is the author of the book ""England""?",Terry Deary
"Who is the author of the book ""An Essay on Man""?",Alexander Pope
"Who is the author of the book ""La caída de Hyperion""?",Dan Simmons
"Who is the author of the book ""Not in the Flesh""?",Ruth Rendell
