question,answers,type
What name is given to the offspring of a/an Armadillo?,baby; pup,Young
What name is given to a group of Polar; bear?,aurora; celebration; pack,Collective noun
What do you call a group of Goosander?,dopping,Collective noun
What is the baby of a/an Cockroach called?,nymph,Young
What do you call a female Kangaroo?,doe; flyer; jill; roo,Female
How is a group of Hyena referred to?,cackle; clan,Collective noun
What is the baby of a/an Meerkat called?,meerkitten,Young
How is a female Gecko referred to?,dam,Female
What is the young one of a/an Koala called?,joey,Young
What is a group of Ass/donkey called?,coffle; drove; herd; pace,Collective noun
What do you call a/an Moth’s young?,caterpillar; chrysalis; larva; pupa,Young
What do you call a female Gecko?,dam,Female
What name is given to a female Lyrebird?,hen,Female
How is a group of Prairie; dog referred to?,town,Collective noun
How is a group of Quail referred to?,bevy,Collective noun
What is a group of Fly called?,business; cloud; swarm,Collective noun
What name is given to the offspring of a/an Mongoose?,pup,Young
What name is given to a female Hare?,doe; jill,Female
What name is given to the offspring of a/an Wombat?,joey,Young
What name is given to a group of Bee?,cast; cluster; colony; drift; erst; grist; hive; nest; rabble; stand; swarm,Collective noun
What is the young one of a/an Spider called?,spiderling,Young
How is a female Falcon referred to?,falcon,Female
What is a group of Octopus called?,shoal,Collective noun
What do you call a group of Crane?,herd; sedge; sege; siege,Collective noun
What name is given to a female Mallard?,hen,Female
What is the young one of a/an Bee called?,larva; pupa,Young
How is a group of Octopus referred to?,shoal,Collective noun
What name is given to the offspring of a/an Moth?,caterpillar; chrysalis; larva; pupa,Young
What do you call a/an Viper’s young?,hatchling,Young
What do you call a female Seahorse?,seamare,Female
How is a female Duck referred to?,duck; hen,Female
What is the baby of a/an Shark called?,cub; pup,Young
What do you call a/an Giraffe’s young?,calf,Young
What do you call a/an Mallard’s young?,duckling,Young
What is the female Falcon called?,falcon,Female
What name is given to the offspring of a/an Tiger?,cub; whelp,Young
What do you call a/an Rhinoceros’s young?,calf,Young
What is the young one of a/an Horse called?,colt; filly; foal; weanling; yearling,Young
What do you call a female Rhinoceros?,cow,Female
How is a female Opossum referred to?,jill,Female
How is a group of Dunlin referred to?,fling,Collective noun
How is a group of Kangaroo referred to?,court; herd; mob; troop,Collective noun
What name is given to a group of Wasp?,colony; hive; nest; swarm,Collective noun
What do you call a female Swan?,pen,Female
What is a group of Moth called?,eclipse; swarm,Collective noun
What is the baby of a/an Hare called?,leveret,Young
What name is given to the offspring of a/an Sheep?,cosset; lamb; lambkin,Young
How is a group of Weasel referred to?,gang; sneak,Collective noun
What do you call a female Narwhal?,cow,Female
What do you call a group of Chough?,chattering; clattering,Collective noun
How is a group of Peccary referred to?,squadron,Collective noun
What name is given to a group of Monkey?,group; troop,Collective noun
How is a female Fox referred to?,vixen,Female
What is a group of Cod called?,school,Collective noun
What do you call a/an Ant’s young?,larva; pupa,Young
What name is given to the offspring of a/an Pig?,farrow; piglet; shoat/shote,Young
What is the baby of a/an Opossum called?,joey,Young
How is a group of Monkey referred to?,group; troop,Collective noun
How is a female Cat referred to?,molly; queen,Female
What is the baby of a/an Armadillo called?,baby; pup,Young
What is the baby of a/an Hornet called?,larva; pupa,Young
What do you call a female Elk/wapiti?,cow,Female
What do you call a group of Deer?,bunch; herd; mob; rangale,Collective noun
What name is given to a group of Hamster?,horde,Collective noun
How is a group of Snail referred to?,escargatoire; rout; walk,Collective noun
What do you call a/an Elephant’s young?,calf,Young
How is a female Skunk referred to?,sow,Female
What is the baby of a/an Whale called?,calf,Young
What is the baby of a/an Raven called?,chick,Young
What name is given to the offspring of a/an Fox?,cub; kit; pup,Young
What is a group of Hare called?,band; down; drove; flick; husk,Collective noun
What is a group of Gnat called?,cloud; horde; rabble; swarm,Collective noun
What do you call a group of Bee?,cast; cluster; colony; drift; erst; grist; hive; nest; rabble; stand; swarm,Collective noun
What name is given to a group of Rook?,building; parliament,Collective noun
What is the young one of a/an Owl called?,fledgling; owlet,Young
How is a female Otter referred to?,sow,Female
How is a group of Kingbird referred to?,court; tyranny; coronation,Collective noun
What name is given to a group of Elephant?,herd; memory; parade,Collective noun
How is a group of Pelican referred to?,pod; scoop,Collective noun
What name is given to a group of Flamingo?,flamboyance; stand,Collective noun
What is the female Rat called?,doe,Female
How is a female Alligator referred to?,cow,Female
What do you call a group of Stingray?,fever,Collective noun
How is a female Antelope referred to?,doe,Female
What is the baby of a/an Mole called?,pup,Young
What is the young one of a/an Cockroach called?,nymph,Young
How is a group of Hornet referred to?,bike; nest; swarm,Collective noun
How is a group of Chimpanzee referred to?,troop; group tribe,Collective noun
What do you call a group of Ladybug?,loveliness,Collective noun
What do you call a group of Eel?,bed; swarm,Collective noun
What name is given to the offspring of a/an Giraffe?,calf,Young
What is the young one of a/an Swan called?,cygnet; flapper,Young
What name is given to a group of Turkey?,rafter,Collective noun
What name is given to a group of Ladybug?,loveliness,Collective noun
What name is given to the offspring of a/an Cockroach?,nymph,Young
How is a group of Pig referred to?,drift; drove; litter; sounder; team,Collective noun
What do you call a/an Pigeon’s young?,squab; squeaker,Young
What do you call a/an Monkey’s young?,infant,Young
How is a female Bear referred to?,she-bear; sow,Female
What do you call a/an Ladybug’s young?,larva,Young
What is the young one of a/an Wildebeest called?,calf,Young
What do you call a/an Human’s young?,baby; boy; child; girl; infant,Young
What do you call a/an Weasel’s young?,kit; pup,Young
What is the baby of a/an Squid called?,paralarva,Young
What name is given to the offspring of a/an Shark?,cub; pup,Young
What is the young one of a/an Guinea; fowl called?,keet,Young
What name is given to the offspring of a/an Kingbird?,chick,Young
What do you call a group of Tiger?,ambush; streak,Collective noun
What do you call a/an Crane’s young?,chick; colt,Young
What name is given to a group of Mongoose?,committee; delegation; troop,Collective noun
What do you call a group of Pigeon?,flight; flock; kit,Collective noun
What name is given to the offspring of a/an Seahorse?,seafoal,Young
What name is given to a group of Dolphin?,herd; pod; school; team,Collective noun
What is the young one of a/an Jaguar called?,cub,Young
What do you call a/an Albatross’s young?,chick,Young
What do you call a/an Dog’s young?,pup; puppy; whelp,Young
What is a group of Snail called?,escargatoire; rout; walk,Collective noun
What name is given to the offspring of a/an Mallard?,duckling,Young
What do you call a/an Chimpanzee’s young?,infant,Young
What name is given to the offspring of a/an Wolf?,cub; pup; puppy; whelp,Young
What do you call a/an Flamingo’s young?,chick,Young
What is the young one of a/an Camel called?,calf,Young
How is a female Elephant referred to?,cow,Female
What do you call a group of Monkey?,group; troop,Collective noun
What is the young one of a/an Guanaco called?,chulengo,Young
What name is given to the offspring of a/an Beaver?,kit; kitten; pup,Young
What name is given to a group of Peafowl?,ostentation,Collective noun
What name is given to the offspring of a/an Toucan?,chick,Young
What name is given to a female Tiger?,tigress,Female
What is the baby of a/an Gecko called?,hatchling,Young
What is a group of Wasp called?,colony; hive; nest; swarm,Collective noun
What name is given to a group of Sheep?,flock; fold; herd,Collective noun
What do you call a group of Dove?,arc; cote; dole; dule; flight; piteousness; pitying,Collective noun
What do you call a group of Mosquito?,cloud; scourge; swarm,Collective noun
What name is given to the offspring of a/an Antelope?,calf,Young
What name is given to a group of Butterfly?,flight; flutter; kaleidoscope; rabble; swarm,Collective noun
What is the female Ferret called?,jill,Female
What name is given to the offspring of a/an Squirrel?,kit; kitten; pup,Young
What do you call a/an Sheep’s young?,cosset; lamb; lambkin,Young
What name is given to a female Armadillo?,sow,Female
What is the baby of a/an Otter called?,pup; whelp,Young
What do you call a group of Mouse?,colony; nest,Collective noun
What is a group of Turtle called?,bale,Collective noun
What name is given to the offspring of a/an Snake?,hatchling; neonate; snakelet,Young
What is the baby of a/an Hedgehog called?,hoglet; piglet; pup,Young
What do you call a/an Mosquito’s young?,nymph; tumbler; wriggler,Young
What do you call a group of Albatross?,flock; gam; rookery,Collective noun
What do you call a/an Gnat’s young?,larva,Young
How is a group of Seahorse referred to?,shoal,Collective noun
What name is given to a female Duck?,duck; hen,Female
What do you call a/an Prairie; dog’s young?,pup,Young
What is a group of Grasshopper called?,cloud; swarm,Collective noun
How is a group of Snake referred to?,ball; nest; slither,Collective noun
What do you call a group of Quail?,bevy,Collective noun
What is the young one of a/an Binturong called?,binlet,Young
What is the baby of a/an Tiger called?,cub; whelp,Young
What do you call a/an Eel’s young?,leptocephalus; elver,Young
What do you call a/an Moose’s young?,calf,Young
What name is given to a group of Salamander?,maelstrom,Collective noun
What is the young one of a/an Lizard called?,hatchling,Young
What name is given to the offspring of a/an Sand; dollar?,juvenile; larva; pluteus,Young
What is a group of Seahorse called?,shoal,Collective noun
How is a female Peafowl referred to?,peahen,Female
What name is given to a group of Goosander?,dopping,Collective noun
What is the female Rhinoceros called?,cow,Female
What name is given to a female Narwhal?,cow,Female
How is a female Horse referred to?,dam; mare,Female
What is the female Guinea; pig called?,sow,Female
What is the young one of a/an Nightingale called?,chick,Young
What do you call a/an Lizard’s young?,hatchling,Young
What is the young one of a/an Cattle called?,calf,Young
What is the baby of a/an Ladybug called?,larva,Young
What name is given to the offspring of a/an Lyrebird?,chick,Young
What is the young one of a/an Guinea; pig called?,pup,Young
What name is given to a group of Raccoon?,brace; committee; gaze; nursery; smack; troop,Collective noun
What do you call a female Ferret?,jill,Female
What is the baby of a/an Dunlin called?,chick,Young
What do you call a/an Panther’s young?,cub,Young
What do you call a group of Grouse?,covey; pack,Collective noun
What do you call a female Llama?,dam; hembra,Female
What do you call a/an Beetle’s young?,larva; grub; mealworm; pupa,Young
What name is given to a group of Opossum?,passel,Collective noun
What do you call a/an Kangaroo’s young?,joey,Young
What is the young one of a/an Frog called?,froglet; polliwog; tadpole,Young
What name is given to a group of Platypus?,paddle,Collective noun
What is the female Tiger called?,tigress,Female
What name is given to a female Opossum?,jill,Female
How is a group of Pheasant referred to?,bouquet; flock; nest; nide; nye,Collective noun
What is the baby of a/an Bear called?,cub,Young
What name is given to a female Raven?,hen,Female
What name is given to a female Moose?,cow,Female
What do you call a female Skunk?,sow,Female
How is a group of Squirrel referred to?,scurry,Collective noun
What is a group of Flamingo called?,flamboyance; stand,Collective noun
What do you call a female Seal?,cow,Female
What is a group of Opossum called?,passel,Collective noun
What name is given to the offspring of a/an Otter?,pup; whelp,Young
How is a group of Goat referred to?,herd; flock; tribe; trip; trippe,Collective noun
What do you call a/an Stingray’s young?,pup,Young
What do you call a/an Hornet’s young?,larva; pupa,Young
What name is given to a female Peafowl?,peahen,Female
What is a group of Grouse called?,covey; pack,Collective noun
How is a group of Crocodile referred to?,bask; congregation; float; menace,Collective noun
How is a group of Jay referred to?,band; party; scold,Collective noun
What name is given to the offspring of a/an Lark?,chick,Young
What do you call a group of Seahorse?,shoal,Collective noun
What name is given to a group of Falcon?,cast,Collective noun
What is the young one of a/an Termite called?,larva,Young
How is a group of Crow referred to?,murder,Collective noun
How is a group of Goldfinch referred to?,charm,Collective noun
How is a female Alpaca referred to?,hembra,Female
What is a group of Spider called?,cluster; clutter,Collective noun
What do you call a/an Turtle’s young?,hatchling; turtlet,Young
What is the baby of a/an Lapwing called?,chick,Young
What name is given to a group of Toad?,knot,Collective noun
What name is given to a female Lark?,hen,Female
What is a group of Nightingale called?,watch,Collective noun
How is a group of Dolphin referred to?,herd; pod; school; team,Collective noun
What is the female Panther called?,pantheress,Female
What name is given to the offspring of a/an Dolphin?,calf,Young
What name is given to a group of Eagle?,convocation,Collective noun
What do you call a/an Grasshopper’s young?,nymph,Young
What do you call a/an Salamander’s young?,larva,Young
What is the baby of a/an Emu called?,chick; hatchling,Young
What is the baby of a/an Quail called?,chick,Young
What do you call a female Tiger?,tigress,Female
How is a group of Polar; bear referred to?,aurora; celebration; pack,Collective noun
What name is given to a group of Raven?,conspiracy; unkindness,Collective noun
How is a female Raccoon referred to?,sow,Female
What do you call a/an Falcon’s young?,eyass/eyas,Young
What name is given to a group of Kingbird?,court; tyranny; coronation,Collective noun
What name is given to a female Ram?,ewe,Female
What name is given to the offspring of a/an Deer?,calf; fawn,Young
What is a group of Falcon called?,cast,Collective noun
What do you call a/an Squid’s young?,paralarva,Young
How is a group of Fly referred to?,business; cloud; swarm,Collective noun
How is a group of Termite referred to?,colony; nest; swarm,Collective noun
What is the female Zebra called?,mare,Female
What name is given to the offspring of a/an Nightingale?,chick,Young
What name is given to a female Antelope?,doe,Female
What name is given to a group of Sardine?,family,Collective noun
What is the baby of a/an Sand; dollar called?,juvenile; larva; pluteus,Young
What is the baby of a/an Jellyfish called?,ephyra; planula; polyp,Young
How is a female Mole referred to?,sow,Female
What do you call a group of Swan?,bevy; flock; lamentation; wedge,Collective noun
What do you call a/an Cod’s young?,codling,Young
What is the young one of a/an Wallaby called?,joey,Young
What is a group of Jaguar called?,leap; parade; prowl,Collective noun
What do you call a group of Prairie; dog?,town,Collective noun
What do you call a group of Salamander?,maelstrom,Collective noun
What name is given to the offspring of a/an Turtle?,hatchling; turtlet,Young
What is a group of Cardinal called?,college; conclave; deeck; radiance; Vatican,Collective noun
What is the young one of a/an Raccoon called?,cub; kit,Young
What is the young one of a/an Gerbil called?,pup,Young
What do you call a/an Salmon’s young?,parr,Young
What is the baby of a/an Owl called?,fledgling; owlet,Young
What do you call a group of Pelican?,pod; scoop,Collective noun
What is the baby of a/an Zebra called?,colt; filly; foal,Young
What name is given to a group of Dog?,comedy; cowardice; cry; kennel; litter; mute; pack,Collective noun
What do you call a/an Elk/wapiti’s young?,calf,Young
What is the young one of a/an Polar; bear called?,cub,Young
What do you call a/an Ass/donkey’s young?,foal,Young
What is the baby of a/an Sheep called?,cosset; lamb; lambkin,Young
What is the female Wombat called?,jill,Female
What do you call a/an Badger’s young?,cub; kit,Young
What name is given to the offspring of a/an Ladybug?,larva,Young
What name is given to a group of Cod?,school,Collective noun
What do you call a/an Lapwing’s young?,chick,Young
What is the young one of a/an Ape called?,baby; child; infant,Young
What name is given to a group of Moth?,eclipse; swarm,Collective noun
What do you call a group of Jellyfish?,bloom; brood; fluther; smack; smuth,Collective noun
What is the female Badger called?,sow,Female
What is a group of Penguin called?,colony; huddle; raft; rookery; tuxedo; waddle,Collective noun
What do you call a group of Rhinoceros?,crash; herd,Collective noun
How is a female Guinea; pig referred to?,sow,Female
What is a group of Wolf called?,pack,Collective noun
What is the female Mole called?,sow,Female
What do you call a female Chinchilla?,sow; velvet,Female
What is the female Weasel called?,bitch; doe; jill,Female
What name is given to a group of Llama?,flock; herd,Collective noun
What do you call a group of Guanaco?,herd,Collective noun
What do you call a group of Jaguar?,leap; parade; prowl,Collective noun
How is a group of Cod referred to?,school,Collective noun
What is the baby of a/an Cormorant called?,chick; shaglet,Young
What is the young one of a/an Fly called?,maggot,Young
What name is given to the offspring of a/an Flamingo?,chick,Young
What is the young one of a/an Elephant called?,calf,Young
What is the female Wallaby called?,jill,Female
What is a group of Beaver called?,colony; family,Collective noun
What name is given to the offspring of a/an Whale?,calf,Young
What name is given to the offspring of a/an Ape?,baby; child; infant,Young
What name is given to the offspring of a/an Peafowl?,chick; peachick,Young
What is the baby of a/an Pheasant called?,chick,Young
What name is given to the offspring of a/an Eel?,leptocephalus; elver,Young
What is the female Bee called?,queen; worker,Female
What is the baby of a/an Mallard called?,duckling,Young
What name is given to the offspring of a/an Salmon?,parr,Young
How is a group of Sandpiper referred to?,fling,Collective noun
What is the baby of a/an Hawk called?,eyas,Young
What name is given to the offspring of a/an Bear?,cub,Young
What is a group of Sea; otter called?,raft,Collective noun
What do you call a group of Moth?,eclipse; swarm,Collective noun
What is the young one of a/an Lion called?,cub,Young
What is the baby of a/an Lion called?,cub,Young
What name is given to the offspring of a/an Lemur?,infant,Young
What is the young one of a/an Hornet called?,larva; pupa,Young
How is a group of Grasshopper referred to?,cloud; swarm,Collective noun
What name is given to a group of Alpaca?,herd,Collective noun
How is a group of Jaguar referred to?,leap; parade; prowl,Collective noun
What name is given to the offspring of a/an Leopard?,cub,Young
How is a female Lion referred to?,lioness,Female
What is the young one of a/an Gorilla called?,infant,Young
What name is given to the offspring of a/an Penguin?,chick; nestling,Young
What do you call a group of Emu?,mob,Collective noun
How is a group of Lyrebird referred to?,musket,Collective noun
What name is given to a female Giraffe?,cow,Female
How is a female Kangaroo referred to?,doe; flyer; jill; roo,Female
What do you call a female Giant; panda?,sow,Female
What is the baby of a/an Porcupine called?,pup; porcupette,Young
What is a group of Cheetah called?,coalition,Collective noun
What is a group of Horse called?,band; field; harras; herd; rag; stable; string; stud; team,Collective noun
What do you call a group of Turtle?,bale,Collective noun
How is a group of Moose referred to?,herd,Collective noun
How is a female Chimpanzee referred to?,empress,Female
What is the young one of a/an Sand; dollar called?,juvenile; larva; pluteus,Young
What do you call a/an Guanaco’s young?,chulengo,Young
What name is given to a group of Grouse?,covey; pack,Collective noun
What is a group of Lion called?,pride; sawt,Collective noun
What name is given to a group of Goose?,chevron; flock; gaggle; plump; skein; team; wedge,Collective noun
What do you call a/an Whale’s young?,calf,Young
What name is given to the offspring of a/an Guinea; pig?,pup,Young
How is a female Cattle referred to?,cow; heifer; freemartin,Female
What is the baby of a/an Spoonbill called?,chick,Young
What do you call a group of Gnu?,herd; implausibility,Collective noun
What is the young one of a/an Lark called?,chick,Young
What is the baby of a/an Peafowl called?,chick; peachick,Young
What do you call a female Gnu?,cow,Female
What is the young one of a/an Ram called?,lamb,Young
What is a group of Goosander called?,dopping,Collective noun
What is a group of Goldfinch called?,charm,Collective noun
What do you call a female Pheasant?,hen,Female
What name is given to the offspring of a/an Fly?,maggot,Young
What is the young one of a/an Badger called?,cub; kit,Young
How is a group of Ladybug referred to?,loveliness,Collective noun
What do you call a/an Octopus’s young?,paralarva,Young
What is the female Hornet called?,queen,Female
What name is given to a female Camel?,cow,Female
How is a female Moose referred to?,cow,Female
What is the female Mouse called?,doe,Female
What is the young one of a/an Octopus called?,paralarva,Young
What is a group of Antelope called?,cluster; herd; tribe,Collective noun
What name is given to a group of Antelope?,cluster; herd; tribe,Collective noun
What is the young one of a/an Mongoose called?,pup,Young
What is a group of Pig called?,drift; drove; litter; sounder; team,Collective noun
What do you call a female Falcon?,falcon,Female
How is a group of Ape referred to?,band family group shrewdness troop; group,Collective noun
What is the baby of a/an Butterfly called?,caterpillar; chrysalis; larva; pupa,Young
What name is given to a female Elk/wapiti?,cow,Female
How is a female Boar/wild; pig referred to?,sow,Female
What is a group of Kingbird called?,court; tyranny; coronation,Collective noun
What is the young one of a/an Jellyfish called?,ephyra; planula; polyp,Young
What do you call a group of Turkey?,rafter,Collective noun
What is a group of Skunk called?,surfeit,Collective noun
How is a female Hamster referred to?,doe,Female
What do you call a/an Duck’s young?,duckling,Young
What name is given to the offspring of a/an Zebra?,colt; filly; foal,Young
What is the female Cattle called?,cow; heifer; freemartin,Female
How is a female Seahorse referred to?,seamare,Female
What is the young one of a/an Pelican called?,chick; nestling,Young
What is a group of Wallaby called?,mob,Collective noun
What do you call a group of Hawk?,aerie; boil; cast; cauldron; flight; flock; kettle; leash; staff,Collective noun
What is the baby of a/an Salamander called?,larva,Young
What do you call a/an Koala’s young?,joey,Young
What do you call a female Boar/wild; pig?,sow,Female
What name is given to a group of Lion?,pride; sawt,Collective noun
What do you call a female Raccoon?,sow,Female
What is the baby of a/an Ram called?,lamb,Young
What name is given to the offspring of a/an Octopus?,paralarva,Young
What is the baby of a/an Cat called?,kit; kitten,Young
How is a group of Whale referred to?,gam; pod; school,Collective noun
What do you call a/an Butterfly’s young?,caterpillar; chrysalis; larva; pupa,Young
What name is given to a female Prairie; dog?,sow,Female
What is the young one of a/an Alligator called?,hatchling,Young
What name is given to the offspring of a/an Porcupine?,pup; porcupette,Young
What do you call a female Armadillo?,sow,Female
What do you call a female Hedgehog?,sow,Female
What do you call a group of Dunlin?,fling,Collective noun
What do you call a group of Snail?,escargatoire; rout; walk,Collective noun
What do you call a/an Polar; bear’s young?,cub,Young
What do you call a/an Hare’s young?,leveret,Young
How is a group of Frog referred to?,army,Collective noun
What name is given to the offspring of a/an Guinea; fowl?,keet,Young
What do you call a/an Zebra’s young?,colt; filly; foal,Young
What do you call a group of Hyena?,cackle; clan,Collective noun
What do you call a female Jay?,hen,Female
What is a group of Eagle called?,convocation,Collective noun
What do you call a/an Gerbil’s young?,pup,Young
What is the female Opossum called?,jill,Female
What name is given to a group of Crow?,murder,Collective noun
What is the young one of a/an Eel called?,leptocephalus; elver,Young
What name is given to a group of Jay?,band; party; scold,Collective noun
What do you call a group of Goose?,chevron; flock; gaggle; plump; skein; team; wedge,Collective noun
What do you call a/an Eagle’s young?,eaglet; fledgling,Young
What name is given to a female Hornet?,queen,Female
What do you call a/an Fly’s young?,maggot,Young
What do you call a group of Otter?,family; romp,Collective noun
What do you call a/an Hippopotamus’s young?,calf,Young
What do you call a female Hawk?,hen,Female
What name is given to a group of Pigeon?,flight; flock; kit,Collective noun
What do you call a group of Seal?,herd; pod; rookery,Collective noun
What name is given to a female Ferret?,jill,Female
What name is given to the offspring of a/an Cormorant?,chick; shaglet,Young
What name is given to the offspring of a/an Badger?,cub; kit,Young
What name is given to the offspring of a/an Koala?,joey,Young
What do you call a group of Guinea; fowl?,flock; rasp,Collective noun
What do you call a/an Ram’s young?,lamb,Young
What do you call a/an Llama’s young?,cria,Young
What do you call a female Hippopotamus?,cow,Female
How is a group of Beaver referred to?,colony; family,Collective noun
What do you call a female Weasel?,bitch; doe; jill,Female
What name is given to a group of Eel?,bed; swarm,Collective noun
What is a group of Squid called?,shoal,Collective noun
What name is given to a female Panther?,pantheress,Female
What do you call a female Horse?,dam; mare,Female
What do you call a group of Porcupine?,prickle,Collective noun
What do you call a female Dove?,hen,Female
What name is given to the offspring of a/an Pigeon?,squab; squeaker,Young
What name is given to a female Deer?,doe; hind; cow,Female
What do you call a/an Pug’s young?,pup,Young
What is the young one of a/an Rhinoceros called?,calf,Young
What name is given to the offspring of a/an Termite?,larva,Young
What name is given to a female Ant?,queen; soldier; worker,Female
How is a group of Dog referred to?,comedy; cowardice; cry; kennel; litter; mute; pack,Collective noun
What is the baby of a/an Oyster called?,spat,Young
What name is given to the offspring of a/an Meerkat?,meerkitten,Young
What is a group of Sheep called?,flock; fold; herd,Collective noun
What is the young one of a/an Goat called?,kid,Young
What do you call a/an Bat’s young?,pup,Young
What name is given to the offspring of a/an Hyena?,cub,Young
How is a group of Badger referred to?,cete; colony,Collective noun
How is a group of Peafowl referred to?,ostentation,Collective noun
What name is given to a female Rat?,doe,Female
What do you call a/an Crab’s young?,zoea,Young
What is the female Raccoon called?,sow,Female
What is the baby of a/an Chimpanzee called?,infant,Young
How is a group of Locust referred to?,cloud; host; swarm,Collective noun
What do you call a group of Ant?,army; bike; colony; bivouac; nest; swarm,Collective noun
What do you call a group of Lark?,exaltation,Collective noun
What do you call a group of Horse?,band; field; harras; herd; rag; stable; string; stud; team,Collective noun
What name is given to a group of Mallard?,sord; suit,Collective noun
What is the female Partridge called?,chantelle; hen,Female
What is the young one of a/an Fox called?,cub; kit; pup,Young
What name is given to a group of Cheetah?,coalition,Collective noun
What do you call a group of Hippopotamus?,bloat; herd; sea; thunder,Collective noun
How is a group of Raccoon referred to?,brace; committee; gaze; nursery; smack; troop,Collective noun
What is the baby of a/an Guinea; pig called?,pup,Young
What name is given to the offspring of a/an Salamander?,larva,Young
What do you call a group of Ape?,band family group shrewdness troop; group,Collective noun
What do you call a group of Mongoose?,committee; delegation; troop,Collective noun
How is a group of Shark referred to?,shiver,Collective noun
What name is given to the offspring of a/an Chinchilla?,kit,Young
How is a female Zebra referred to?,mare,Female
What name is given to a group of Turtle?,bale,Collective noun
What do you call a female Lyrebird?,hen,Female
What name is given to the offspring of a/an Ram?,lamb,Young
What is the young one of a/an Armadillo called?,baby; pup,Young
What name is given to a group of Kinkajou?,convergence; troop,Collective noun
What is the baby of a/an Camel called?,calf,Young
What is the young one of a/an Turkey called?,poult,Young
What is the young one of a/an Pigeon called?,squab; squeaker,Young
What is the young one of a/an Elk/wapiti called?,calf,Young
What name is given to a female Lobster?,hen,Female
How is a female Wasp referred to?,queen; worker,Female
How is a group of Horse referred to?,band; field; harras; herd; rag; stable; string; stud; team,Collective noun
How is a female Guinea; fowl referred to?,hen,Female
What is the baby of a/an Fly called?,maggot,Young
What is a group of Platypus called?,paddle,Collective noun
What is the baby of a/an Kangaroo called?,joey,Young
How is a group of Mallard referred to?,sord; suit,Collective noun
What name is given to the offspring of a/an Horse?,colt; filly; foal; weanling; yearling,Young
What do you call a/an Shark’s young?,cub; pup,Young
What is the young one of a/an Lemur called?,infant,Young
What is the young one of a/an Human called?,baby; boy; child; girl; infant,Young
What do you call a group of Leopard?,leap; lepe,Collective noun
What do you call a/an Chicken’s young?,chick,Young
What do you call a group of Eagle?,convocation,Collective noun
How is a female Nightingale referred to?,hen,Female
What name is given to a group of Peccary?,squadron,Collective noun
What is the baby of a/an Heron called?,chick,Young
What is the female Horse called?,dam; mare,Female
What do you call a group of Crow?,murder,Collective noun
How is a group of Sea; otter referred to?,raft,Collective noun
What is a group of Monkey called?,group; troop,Collective noun
What do you call a group of Cattle?,drove; gang; herd; obstinancy; team; troop; yoke,Collective noun
What do you call a/an Beaver’s young?,kit; kitten; pup,Young
What is the young one of a/an Squirrel called?,kit; kitten; pup,Young
What name is given to the offspring of a/an Mosquito?,nymph; tumbler; wriggler,Young
What do you call a female Otter?,sow,Female
What is the female Camel called?,cow,Female
How is a female Porcupine referred to?,sow,Female
What do you call a group of Spider?,cluster; clutter,Collective noun
What is a group of Guanaco called?,herd,Collective noun
What name is given to a female Human?,lady; woman,Female
What name is given to a group of Crocodile?,bask; congregation; float; menace,Collective noun
What name is given to the offspring of a/an Pug?,pup,Young
What is the baby of a/an Snake called?,hatchling; neonate; snakelet,Young
What do you call a female Porcupine?,sow,Female
What name is given to a group of Giant; panda?,embarrassment; sleuth,Collective noun
How is a group of Wolf referred to?,pack,Collective noun
What is the young one of a/an Penguin called?,chick; nestling,Young
What is a group of Elephant called?,herd; memory; parade,Collective noun
What is the female Giraffe called?,cow,Female
What name is given to the offspring of a/an Hippopotamus?,calf,Young
What is the female Seal called?,cow,Female
What is the young one of a/an Kangaroo called?,joey,Young
What do you call a/an Lion’s young?,cub,Young
What is the young one of a/an Squid called?,paralarva,Young
What do you call a/an Dove’s young?,chick,Young
What is a group of Snake called?,ball; nest; slither,Collective noun
What is a group of Guinea; fowl called?,flock; rasp,Collective noun
How is a group of Lark referred to?,exaltation,Collective noun
What do you call a group of Goat?,herd; flock; tribe; trip; trippe,Collective noun
What do you call a group of Kangaroo?,court; herd; mob; troop,Collective noun
What name is given to the offspring of a/an Hawk?,eyas,Young
What is a group of Dove called?,arc; cote; dole; dule; flight; piteousness; pitying,Collective noun
How is a group of Guinea; pig referred to?,herd,Collective noun
How is a group of Salamander referred to?,maelstrom,Collective noun
What is the female Pigeon called?,hen,Female
What is the young one of a/an Ant called?,larva; pupa,Young
What name is given to a group of Otter?,family; romp,Collective noun
What is the female Alligator called?,cow,Female
What do you call a group of Elephant?,herd; memory; parade,Collective noun
What name is given to a group of Hyena?,cackle; clan,Collective noun
What name is given to a group of Jellyfish?,bloom; brood; fluther; smack; smuth,Collective noun
What is the baby of a/an Cheetah called?,cub; kitten,Young
What do you call a/an Fox’s young?,cub; kit; pup,Young
What is the female Raven called?,hen,Female
What name is given to a group of Guinea; pig?,herd,Collective noun
What name is given to a female Chimpanzee?,empress,Female
What is the baby of a/an Albatross called?,chick,Young
What is a group of Ape called?,band family group shrewdness troop; group,Collective noun
What do you call a female Bee?,queen; worker,Female
How is a female Sheep referred to?,dam; ewe,Female
What do you call a group of Nightingale?,watch,Collective noun
What do you call a female Wildebeest?,cow,Female
What do you call a/an Bee’s young?,larva; pupa,Young
What name is given to a female Rhinoceros?,cow,Female
What is the baby of a/an Locust called?,nymph,Young
How is a group of Wombat referred to?,wisdom,Collective noun
What is the baby of a/an Rhinoceros called?,calf,Young
