question,answer,type
What is the fractional unit of the currency Cook Islands dollar from Cook Islands?,Cent,fractional_unit
What is the fractional unit of the currency Australian dollar from Tuvalu?,Cent,fractional_unit
What is the fractional unit of the currency South Sudanese pound from South Sudan?,Piaster,fractional_unit
What is the currency symbol of the currency Eastern Caribbean dollar from Saint Vincent and the Grenadines?,EC$,symbol_or_abbreviation
What is the fractional unit of the currency Kenyan shilling from Kenya?,Cent,fractional_unit
What is the ISO code of the currency Indian rupee from India?,INR,iso_code
What is the ISO code of the currency United States dollar[G] from Sint Eustatius?,USD,iso_code
What is the currency symbol of the currency Kenyan shilling from Kenya?,Sh or Shs (pl.),symbol_or_abbreviation
What is the fractional unit of the currency Costa Rican colón from Costa Rica?,Céntimo,fractional_unit
What is the currency symbol of the currency Maldivian rufiyaa from Maldives?,Rf,symbol_or_abbreviation
What is the fractional unit of the currency São Tomé and Príncipe dobra from São Tomé and Príncipe?,Cêntimo,fractional_unit
What is the currency symbol of the currency West African CFA franc from Côte d'Ivoire?,F.CFA,symbol_or_abbreviation
What is the ISO code of the currency Panamanian balboa from Panama?,PAB,iso_code
What is the ISO code of the currency Falkland Islands pound from Falkland Islands?,FKP,iso_code
What is the fractional unit of the currency Honduran lempira from Honduras?,Centavo,fractional_unit
What is the ISO code of the currency Euro from San Marino?,EUR,iso_code
What is the ISO code of the currency Sterling from Bailiwick of Guernsey?,GBP,iso_code
What is the ISO code of the currency Mauritanian ouguiya from Mauritania?,MRU,iso_code
What is the fractional unit of the currency Ghanaian cedi from Ghana?,Pesewa,fractional_unit
What is the ISO code of the currency Jordanian dinar from Palestine[K]?,JOD,iso_code
What is the fractional unit of the currency South African rand from Namibia?,Cent,fractional_unit
What is the ISO code of the currency Bermudian dollar from Bermuda?,BMD,iso_code
What is the fractional unit of the currency Cape Verdean escudo from Cape Verde?,Centavo,fractional_unit
What is the ISO code of the currency Omani rial from Oman?,OMR,iso_code
What is the currency symbol of the currency West African CFA franc from Togo?,F.CFA,symbol_or_abbreviation
What is the fractional unit of the currency Ukrainian hryvnia from Ukraine?,Kopeck,fractional_unit
What is the ISO code of the currency Kenyan shilling from Kenya?,KES,iso_code
What is the ISO code of the currency CFP franc from Wallis and Futuna?,XPF,iso_code
What is the ISO code of the currency Malagasy ariary from Madagascar?,MGA,iso_code
What is the currency symbol of the currency Moldovan leu from Moldova?,Leu or Lei (pl.),symbol_or_abbreviation
What is the fractional unit of the currency Zambian kwacha from Zambia?,Ngwee,fractional_unit
What is the ISO code of the currency Euro from Cyprus?,EUR,iso_code
What is the fractional unit of the currency Jersey pound from Jersey?,Penny,fractional_unit
What is the ISO code of the currency Uruguayan peso from Uruguay?,UYU,iso_code
What is the fractional unit of the currency Swedish krona from Sweden?,Öre,fractional_unit
What is the ISO code of the currency Euro from Slovenia?,EUR,iso_code
What is the currency symbol of the currency Pitcairn Islands dollar[E] from Pitcairn Islands?,$,symbol_or_abbreviation
What is the currency symbol of the currency Central African CFA franc from Cameroon?,F.CFA,symbol_or_abbreviation
What is the currency symbol of the currency Pakistani rupee from Pakistan?,Re or Rs (pl.),symbol_or_abbreviation
What is the currency symbol of the currency Danish krone from Greenland?,kr,symbol_or_abbreviation
What is the fractional unit of the currency Euro from France?,Cent,fractional_unit
What is the currency symbol of the currency Uzbekistani sum from Uzbekistan?,Sʻ,symbol_or_abbreviation
What is the fractional unit of the currency United States dollar from Ecuador?,Centavo,fractional_unit
What is the fractional unit of the currency South African rand from South Africa?,Cent,fractional_unit
What is the ISO code of the currency Bulgarian lev from Bulgaria?,BGN,iso_code
What is the fractional unit of the currency Transnistrian ruble from Transnistria?,Kopeck,fractional_unit
What is the fractional unit of the currency Turkish lira from Turkey?,Kuruş,fractional_unit
What is the fractional unit of the currency Transnistrian ruble from Transnistria?,Kopeck,fractional_unit
What is the fractional unit of the currency Cuban peso from Cuba?,Centavo,fractional_unit
What is the fractional unit of the currency Euro from Spain?,Cent,fractional_unit
What is the fractional unit of the currency Sterling from Falkland Islands?,Penny,fractional_unit
What is the fractional unit of the currency Ethiopian birr from Ethiopia?,Santim,fractional_unit
What is the currency symbol of the currency São Tomé and Príncipe dobra from São Tomé and Príncipe?,Db,symbol_or_abbreviation
What is the currency symbol of the currency Sterling from Gibraltar?,£,symbol_or_abbreviation
What is the currency symbol of the currency Japanese yen from Japan?,¥,symbol_or_abbreviation
What is the fractional unit of the currency Bhutanese ngultrum[F] from Bhutan?,Chetrum,fractional_unit
What is the currency symbol of the currency Vanuatu vatu from Vanuatu?,VT,symbol_or_abbreviation
What is the fractional unit of the currency Solomon Islands dollar from Solomon Islands?,Cent,fractional_unit
What is the currency symbol of the currency South African rand from Eswatini?,R,symbol_or_abbreviation
What is the currency symbol of the currency South Sudanese pound from South Sudan?,SS£,symbol_or_abbreviation
What is the currency symbol of the currency West African CFA franc from Niger?,F.CFA,symbol_or_abbreviation
What is the ISO code of the currency Panamanian balboa from Panama?,PAB,iso_code
What is the currency symbol of the currency Belarusian ruble from Belarus?,Br,symbol_or_abbreviation
What is the currency symbol of the currency Liberian dollar from Liberia?,$,symbol_or_abbreviation
What is the currency symbol of the currency Liberian dollar from Liberia?,$,symbol_or_abbreviation
What is the fractional unit of the currency Guernsey pound from Bailiwick of Guernsey?,Penny,fractional_unit
What is the fractional unit of the currency Armenian dram from Armenia?,Luma,fractional_unit
What is the ISO code of the currency Danish krone from Greenland?,DKK,iso_code
What is the ISO code of the currency Tongan paʻanga[O] from Tonga?,TOP,iso_code
What is the currency symbol of the currency Eastern Caribbean dollar from Anguilla?,EC$,symbol_or_abbreviation
What is the currency symbol of the currency Singapore dollar from Brunei[H]?,$,symbol_or_abbreviation
What is the currency symbol of the currency Abkhazian apsar[E] from Abkhazia?,аҧ,symbol_or_abbreviation
What is the currency symbol of the currency Peruvian sol from Peru?,S/,symbol_or_abbreviation
What is the ISO code of the currency United States dollar from Timor-Leste?,USD,iso_code
What is the currency symbol of the currency Cook Islands dollar from Cook Islands?,$,symbol_or_abbreviation
What is the currency symbol of the currency Euro from Estonia?,€,symbol_or_abbreviation
What is the ISO code of the currency Euro from Croatia?,EUR,iso_code
What is the ISO code of the currency New Zealand dollar from New Zealand?,NZD,iso_code
What is the currency symbol of the currency Surinamese dollar from Suriname?,$,symbol_or_abbreviation
What is the fractional unit of the currency Cape Verdean escudo from Cape Verde?,Centavo,fractional_unit
What is the ISO code of the currency Swiss franc from Switzerland?,CHF,iso_code
What is the currency symbol of the currency Seychellois rupee from Seychelles?,Re or Rs (pl.),symbol_or_abbreviation
What is the fractional unit of the currency Sierra Leonean leone from Sierra Leone?,Cent,fractional_unit
What is the currency symbol of the currency United States dollar from Panama?,$,symbol_or_abbreviation
What is the currency symbol of the currency Norwegian krone from Norway?,kr,symbol_or_abbreviation
What is the fractional unit of the currency Canadian dollar from Canada?,Cent,fractional_unit
What is the currency symbol of the currency United States dollar[G] from Bonaire?,$,symbol_or_abbreviation
What is the currency symbol of the currency Manx pound from Isle of Man?,£,symbol_or_abbreviation
What is the fractional unit of the currency Burundian franc from Burundi?,Centime,fractional_unit
What is the currency symbol of the currency Samoan tālā from Samoa?,$,symbol_or_abbreviation
What is the fractional unit of the currency Czech koruna from Czech Republic?,Heller,fractional_unit
What is the fractional unit of the currency Sterling from South Georgia and the South Sandwich Islands?,Penny,fractional_unit
What is the ISO code of the currency Australian dollar from Australia?,AUD,iso_code
What is the ISO code of the currency Euro from Austria?,EUR,iso_code
What is the currency symbol of the currency Costa Rican colón from Costa Rica?,₡,symbol_or_abbreviation
What is the fractional unit of the currency United States dollar from Palau?,Cent,fractional_unit
What is the fractional unit of the currency United States dollar from Liberia?,Cent,fractional_unit
What is the fractional unit of the currency Sterling from Falkland Islands?,Penny,fractional_unit
What is the ISO code of the currency Malawian kwacha from Malawi?,MWK,iso_code
What is the ISO code of the currency South Sudanese pound from South Sudan?,SSP,iso_code
What is the currency symbol of the currency Iraqi dinar from Iraq?,ID,symbol_or_abbreviation
What is the ISO code of the currency Euro from Belgium?,EUR,iso_code
"What is the currency symbol of the currency South Korean won from Korea, South?",₩,symbol_or_abbreviation
What is the fractional unit of the currency Euro from Portugal?,Cent,fractional_unit
What is the fractional unit of the currency Euro from Malta?,Cent,fractional_unit
What is the fractional unit of the currency Cape Verdean escudo from Cape Verde?,Centavo,fractional_unit
What is the ISO code of the currency Central African CFA franc from Gabon?,XAF,iso_code
What is the ISO code of the currency Venezuelan sovereign bolívar from Venezuela?,VES,iso_code
What is the currency symbol of the currency Niue dollar[E] from Niue?,$,symbol_or_abbreviation
"What is the currency symbol of the currency Congolese franc from Congo, Democratic Republic of the?",FC,symbol_or_abbreviation
What is the fractional unit of the currency Indonesian rupiah from Indonesia?,Sen,fractional_unit
What is the currency symbol of the currency West African CFA franc from Mali?,F.CFA,symbol_or_abbreviation
What is the currency symbol of the currency Euro from Portugal?,€,symbol_or_abbreviation
What is the currency symbol of the currency Cook Islands dollar from Cook Islands?,$,symbol_or_abbreviation
What is the ISO code of the currency Moroccan dirham from Sahrawi Republic[L]?,MAD,iso_code
What is the fractional unit of the currency Egyptian pound from Palestine[K]?,Piastre[B],fractional_unit
What is the ISO code of the currency Euro from Estonia?,EUR,iso_code
What is the fractional unit of the currency Norwegian krone from Norway?,Øre,fractional_unit
What is the ISO code of the currency Qatari riyal from Qatar?,QAR,iso_code
What is the fractional unit of the currency Moroccan dirham from Morocco?,Centime,fractional_unit
What is the ISO code of the currency Sterling from Falkland Islands?,GBP,iso_code
What is the currency symbol of the currency Sterling from Gibraltar?,£,symbol_or_abbreviation
What is the currency symbol of the currency Niue dollar[E] from Niue?,$,symbol_or_abbreviation
What is the fractional unit of the currency Singapore dollar from Brunei[H]?,Cent,fractional_unit
What is the currency symbol of the currency Kenyan shilling from Kenya?,Sh or Shs (pl.),symbol_or_abbreviation
What is the fractional unit of the currency Sterling from Jersey?,Penny,fractional_unit
What is the fractional unit of the currency Eastern Caribbean dollar from Antigua and Barbuda?,Cent,fractional_unit
What is the currency symbol of the currency Vanuatu vatu from Vanuatu?,VT,symbol_or_abbreviation
What is the fractional unit of the currency Belarusian ruble from Belarus?,Kopeck,fractional_unit
What is the ISO code of the currency Brunei dollar from Brunei[H]?,BND,iso_code
What is the currency symbol of the currency Mongolian tögrög from Mongolia?,₮,symbol_or_abbreviation
What is the ISO code of the currency Brunei dollar from Singapore[M]?,BND,iso_code
What is the currency symbol of the currency Kazakhstani tenge from Kazakhstan?,₸,symbol_or_abbreviation
What is the fractional unit of the currency Armenian dram from Armenia?,Luma,fractional_unit
What is the fractional unit of the currency Samoan tālā from Samoa?,Sene,fractional_unit
What is the ISO code of the currency Angolan kwanza from Angola?,AOA,iso_code
What is the fractional unit of the currency Azerbaijani manat from Azerbaijan?,Qəpik,fractional_unit
What is the currency symbol of the currency Somaliland shilling from Somaliland?,Sh or Shs (pl.),symbol_or_abbreviation
What is the currency symbol of the currency Central African CFA franc from Chad?,F.CFA,symbol_or_abbreviation
What is the ISO code of the currency New Taiwan dollar from Taiwan?,TWD,iso_code
What is the currency symbol of the currency United States dollar from Micronesia?,$,symbol_or_abbreviation
What is the fractional unit of the currency Cook Islands dollar from Cook Islands?,Cent,fractional_unit
What is the ISO code of the currency South African rand from South Africa?,ZAR,iso_code
What is the currency symbol of the currency Mozambican metical from Mozambique?,Mt,symbol_or_abbreviation
What is the ISO code of the currency Central African CFA franc from Chad?,XAF,iso_code
What is the fractional unit of the currency Mauritian rupee from Mauritius?,Cent,fractional_unit
What is the currency symbol of the currency Rwandan franc from Rwanda?,FRw,symbol_or_abbreviation
What is the fractional unit of the currency United States dollar from United States?,Cent[A],fractional_unit
What is the ISO code of the currency Euro from Akrotiri and Dhekelia?,EUR,iso_code
What is the ISO code of the currency Qatari riyal from Qatar?,QAR,iso_code
What is the fractional unit of the currency Euro from Greece?,Cent,fractional_unit
What is the currency symbol of the currency Malawian kwacha from Malawi?,K,symbol_or_abbreviation
What is the currency symbol of the currency Lesotho loti from Lesotho?,L or M (pl.),symbol_or_abbreviation
What is the ISO code of the currency Moroccan dirham from Morocco?,MAD,iso_code
What is the currency symbol of the currency Burundian franc from Burundi?,FBu,symbol_or_abbreviation
What is the fractional unit of the currency Eastern Caribbean dollar from Saint Kitts and Nevis?,Cent,fractional_unit
What is the currency symbol of the currency Macedonian denar from North Macedonia?,DEN,symbol_or_abbreviation
What is the ISO code of the currency Mongolian tögrög from Mongolia?,MNT,iso_code
What is the currency symbol of the currency Indian rupee from India?,₹,symbol_or_abbreviation
What is the ISO code of the currency Georgian lari from Georgia?,GEL,iso_code
What is the ISO code of the currency United States dollar from United States?,USD,iso_code
What is the fractional unit of the currency Euro from France?,Cent,fractional_unit
What is the currency symbol of the currency Eastern Caribbean dollar from Saint Vincent and the Grenadines?,EC$,symbol_or_abbreviation
What is the fractional unit of the currency Armenian dram from Armenia?,Luma,fractional_unit
What is the currency symbol of the currency Mexican peso from Mexico?,$,symbol_or_abbreviation
What is the fractional unit of the currency Euro from Germany?,Cent,fractional_unit
"What is the fractional unit of the currency Central African CFA franc from Congo, Republic of the?",Centime,fractional_unit
What is the ISO code of the currency Burundian franc from Burundi?,BIF,iso_code
What is the fractional unit of the currency Sterling from Jersey?,Penny,fractional_unit
What is the currency symbol of the currency Libyan dinar from Libya?,LD,symbol_or_abbreviation
What is the ISO code of the currency United States dollar from Timor-Leste?,USD,iso_code
What is the fractional unit of the currency West African CFA franc from Senegal?,Centime,fractional_unit
What is the currency symbol of the currency Macedonian denar from North Macedonia?,DEN,symbol_or_abbreviation
What is the fractional unit of the currency Nigerian naira from Nigeria?,Kobo,fractional_unit
What is the fractional unit of the currency Guernsey pound from Bailiwick of Guernsey?,Penny,fractional_unit
What is the fractional unit of the currency Swazi lilangeni from Eswatini?,Cent,fractional_unit
What is the currency symbol of the currency United States dollar from Panama?,$,symbol_or_abbreviation
What is the currency symbol of the currency CFP franc from French Polynesia?,₣,symbol_or_abbreviation
What is the currency symbol of the currency Aruban florin from Aruba?,ƒ,symbol_or_abbreviation
What is the ISO code of the currency Indonesian rupiah from Indonesia?,IDR,iso_code
What is the currency symbol of the currency Honduran lempira from Honduras?,L,symbol_or_abbreviation
What is the fractional unit of the currency Tuvaluan dollar from Tuvalu?,Cent,fractional_unit
What is the fractional unit of the currency Sterling from Isle of Man?,Penny,fractional_unit
What is the currency symbol of the currency Hungarian forint from Hungary?,Ft,symbol_or_abbreviation
What is the fractional unit of the currency Manx pound from Isle of Man?,Penny,fractional_unit
What is the ISO code of the currency Euro from Finland?,EUR,iso_code
What is the ISO code of the currency Paraguayan guaraní from Paraguay?,PYG,iso_code
What is the currency symbol of the currency United States dollar from Micronesia?,$,symbol_or_abbreviation
What is the fractional unit of the currency South African rand from South Africa?,Cent,fractional_unit
What is the ISO code of the currency Botswana pula from Botswana?,BWP,iso_code
What is the fractional unit of the currency Colombian peso from Colombia?,Centavo,fractional_unit
What is the ISO code of the currency Sterling from Saint Helena?,GBP,iso_code
What is the ISO code of the currency Maldivian rufiyaa from Maldives?,MVR,iso_code
What is the fractional unit of the currency Malawian kwacha from Malawi?,Tambala,fractional_unit
What is the fractional unit of the currency Eastern Caribbean dollar from Montserrat?,Cent,fractional_unit
What is the fractional unit of the currency Malaysian ringgit from Malaysia?,Sen,fractional_unit
What is the currency symbol of the currency Kuwaiti dinar from Kuwait?,KD,symbol_or_abbreviation
What is the currency symbol of the currency Brazilian real from Brazil?,R$,symbol_or_abbreviation
What is the currency symbol of the currency Iranian rial from Iran?,Rl or Rls (pl.),symbol_or_abbreviation
What is the fractional unit of the currency Angolan kwanza from Angola?,Cêntimo,fractional_unit
What is the fractional unit of the currency Central African CFA franc from Gabon?,Centime,fractional_unit
What is the fractional unit of the currency Guernsey pound from Bailiwick of Guernsey?,Penny,fractional_unit
What is the currency symbol of the currency Jordanian dinar from Jordan?,JD,symbol_or_abbreviation
What is the ISO code of the currency Singapore dollar from Singapore[M]?,SGD,iso_code
What is the currency symbol of the currency United States dollar from Liberia?,$,symbol_or_abbreviation
"What is the fractional unit of the currency South Korean won from Korea, South?",Jeon,fractional_unit
What is the fractional unit of the currency Turkish lira from Northern Cyprus?,Kuruş,fractional_unit
What is the currency symbol of the currency Sri Lankan rupee from Sri Lanka?,Re or Rs (pl.),symbol_or_abbreviation
What is the currency symbol of the currency Manx pound from Isle of Man?,£,symbol_or_abbreviation
What is the fractional unit of the currency South African rand from Lesotho?,Cent,fractional_unit
What is the currency symbol of the currency West African CFA franc from Burkina Faso?,F.CFA,symbol_or_abbreviation
What is the fractional unit of the currency Euro from Lithuania?,Cent,fractional_unit
What is the fractional unit of the currency New Zealand dollar from Cook Islands?,Cent,fractional_unit
What is the fractional unit of the currency Euro from Greece?,Cent,fractional_unit
What is the ISO code of the currency Djiboutian franc from Djibouti?,DJF,iso_code
What is the currency symbol of the currency CFP franc from French Polynesia?,₣,symbol_or_abbreviation
What is the currency symbol of the currency Sterling from Bailiwick of Guernsey?,£,symbol_or_abbreviation
What is the ISO code of the currency Swiss franc from Switzerland?,CHF,iso_code
What is the fractional unit of the currency Euro from Latvia?,Cent,fractional_unit
What is the ISO code of the currency Falkland Islands pound from South Georgia and the South Sandwich Islands?,FKP,iso_code
What is the ISO code of the currency Euro from Latvia?,EUR,iso_code
What is the ISO code of the currency Macedonian denar from North Macedonia?,MKD,iso_code
What is the fractional unit of the currency Ghanaian cedi from Ghana?,Pesewa,fractional_unit
What is the fractional unit of the currency Swedish krona from Sweden?,Öre,fractional_unit
What is the ISO code of the currency Brunei dollar from Brunei[H]?,BND,iso_code
What is the fractional unit of the currency Sterling from Jersey?,Penny,fractional_unit
What is the currency symbol of the currency Malagasy ariary from Madagascar?,Ar,symbol_or_abbreviation
What is the currency symbol of the currency United States dollar from El Salvador?,$,symbol_or_abbreviation
What is the ISO code of the currency CFP franc from French Polynesia?,XPF,iso_code
What is the fractional unit of the currency Djiboutian franc from Djibouti?,Centime,fractional_unit
What is the fractional unit of the currency Belarusian ruble from Belarus?,Kopeck,fractional_unit
What is the currency symbol of the currency Israeli new shekel from Palestine[K]?,₪,symbol_or_abbreviation
What is the fractional unit of the currency Djiboutian franc from Djibouti?,Centime,fractional_unit
What is the currency symbol of the currency New Zealand dollar from New Zealand?,$,symbol_or_abbreviation
What is the currency symbol of the currency Trinidad and Tobago dollar from Trinidad and Tobago?,$,symbol_or_abbreviation
What is the fractional unit of the currency Uruguayan peso from Uruguay?,Centésimo,fractional_unit
What is the currency symbol of the currency Vanuatu vatu from Vanuatu?,VT,symbol_or_abbreviation
What is the currency symbol of the currency Angolan kwanza from Angola?,Kz,symbol_or_abbreviation
What is the currency symbol of the currency Namibian dollar from Namibia?,$,symbol_or_abbreviation
What is the fractional unit of the currency Turkmenistani manat from Turkmenistan?,Tenge,fractional_unit
What is the fractional unit of the currency Ethiopian birr from Ethiopia?,Santim,fractional_unit
What is the currency symbol of the currency Swedish krona from Sweden?,kr,symbol_or_abbreviation
What is the currency symbol of the currency Eastern Caribbean dollar from Dominica?,EC$,symbol_or_abbreviation
What is the fractional unit of the currency Faroese króna from Faroe Islands?,Oyra,fractional_unit
What is the fractional unit of the currency Manx pound from Isle of Man?,Penny,fractional_unit
What is the ISO code of the currency Euro from Belgium?,EUR,iso_code
What is the currency symbol of the currency Fijian dollar from Fiji?,$,symbol_or_abbreviation
What is the ISO code of the currency Eastern Caribbean dollar from Saint Kitts and Nevis?,XCD,iso_code
What is the fractional unit of the currency Somali shilling from Somalia?,Cent,fractional_unit
What is the fractional unit of the currency Australian dollar from Nauru?,Cent,fractional_unit
What is the ISO code of the currency Eastern Caribbean dollar from Saint Lucia?,XCD,iso_code
What is the fractional unit of the currency Euro from Italy?,Cent,fractional_unit
What is the fractional unit of the currency Faroese króna from Faroe Islands?,Oyra,fractional_unit
What is the ISO code of the currency Yemeni rial from Yemen?,YER,iso_code
What is the ISO code of the currency Egyptian pound from Egypt?,EGP,iso_code
What is the fractional unit of the currency Eastern Caribbean dollar from Montserrat?,Cent,fractional_unit
What is the ISO code of the currency Costa Rican colón from Costa Rica?,CRC,iso_code
What is the currency symbol of the currency Mauritian rupee from Mauritius?,Re or Rs (pl.),symbol_or_abbreviation
What is the ISO code of the currency Euro from San Marino?,EUR,iso_code
What is the currency symbol of the currency Sterling from Isle of Man?,£,symbol_or_abbreviation
What is the currency symbol of the currency Euro from Belgium?,€,symbol_or_abbreviation
What is the currency symbol of the currency West African CFA franc from Côte d'Ivoire?,F.CFA,symbol_or_abbreviation
What is the ISO code of the currency São Tomé and Príncipe dobra from São Tomé and Príncipe?,STN,iso_code
What is the ISO code of the currency Djiboutian franc from Djibouti?,DJF,iso_code
What is the fractional unit of the currency Cape Verdean escudo from Cape Verde?,Centavo,fractional_unit
What is the currency symbol of the currency Surinamese dollar from Suriname?,$,symbol_or_abbreviation
What is the fractional unit of the currency New Taiwan dollar from Taiwan?,Cent,fractional_unit
What is the ISO code of the currency Eastern Caribbean dollar from Saint Kitts and Nevis?,XCD,iso_code
What is the fractional unit of the currency Central African CFA franc from Gabon?,Centime,fractional_unit
What is the fractional unit of the currency Dominican peso from Dominican Republic?,Centavo,fractional_unit
What is the ISO code of the currency Yemeni rial from Yemen?,YER,iso_code
What is the ISO code of the currency Sterling from Falkland Islands?,GBP,iso_code
What is the ISO code of the currency Panamanian balboa from Panama?,PAB,iso_code
What is the ISO code of the currency Burmese kyat from Myanmar?,MMK,iso_code
What is the currency symbol of the currency Russian ruble from Russia?,₽,symbol_or_abbreviation
What is the ISO code of the currency Euro from Lithuania?,EUR,iso_code
"What is the currency symbol of the currency South Korean won from Korea, South?",₩,symbol_or_abbreviation
What is the currency symbol of the currency Nicaraguan córdoba from Nicaragua?,C$,symbol_or_abbreviation
What is the currency symbol of the currency Tunisian dinar from Tunisia?,DT,symbol_or_abbreviation
What is the currency symbol of the currency Serbian dinar from Serbia?,DIN,symbol_or_abbreviation
What is the ISO code of the currency Yemeni rial from Yemen?,YER,iso_code
What is the ISO code of the currency West African CFA franc from Côte d'Ivoire?,XOF,iso_code
What is the fractional unit of the currency Turkmenistani manat from Turkmenistan?,Tenge,fractional_unit
What is the fractional unit of the currency Azerbaijani manat from Azerbaijan?,Qəpik,fractional_unit
What is the currency symbol of the currency Nicaraguan córdoba from Nicaragua?,C$,symbol_or_abbreviation
What is the ISO code of the currency Czech koruna from Czech Republic?,CZK,iso_code
What is the currency symbol of the currency United States dollar from El Salvador?,$,symbol_or_abbreviation
What is the currency symbol of the currency Tuvaluan dollar from Tuvalu?,$,symbol_or_abbreviation
What is the ISO code of the currency Euro from Akrotiri and Dhekelia?,EUR,iso_code
What is the currency symbol of the currency Tajikistani somoni from Tajikistan?,SM,symbol_or_abbreviation
What is the currency symbol of the currency Uruguayan peso from Uruguay?,$,symbol_or_abbreviation
What is the fractional unit of the currency United States dollar from Liberia?,Cent,fractional_unit
What is the currency symbol of the currency South African rand from South Africa?,R,symbol_or_abbreviation
What is the ISO code of the currency Caribbean guilder from Sint Maarten?,XCG,iso_code
What is the fractional unit of the currency Fijian dollar from Fiji?,Cent,fractional_unit
What is the currency symbol of the currency Bangladeshi taka from Bangladesh?,৳,symbol_or_abbreviation
What is the fractional unit of the currency Nicaraguan córdoba from Nicaragua?,Centavo,fractional_unit
What is the fractional unit of the currency Bermudian dollar from Bermuda?,Cent,fractional_unit
What is the ISO code of the currency United States dollar from Liberia?,USD,iso_code
What is the ISO code of the currency New Zealand dollar from Niue?,NZD,iso_code
What is the currency symbol of the currency Bosnia and Herzegovina convertible mark from Bosnia and Herzegovina?,KM,symbol_or_abbreviation
What is the ISO code of the currency Malawian kwacha from Malawi?,MWK,iso_code
What is the currency symbol of the currency South Sudanese pound from South Sudan?,SS£,symbol_or_abbreviation
What is the ISO code of the currency Euro from Estonia?,EUR,iso_code
What is the currency symbol of the currency Venezuelan digital bolívar from Venezuela?,Bs.D,symbol_or_abbreviation
What is the ISO code of the currency Euro from Montenegro?,EUR,iso_code
What is the ISO code of the currency Pakistani rupee from Pakistan?,PKR,iso_code
What is the currency symbol of the currency São Tomé and Príncipe dobra from São Tomé and Príncipe?,Db,symbol_or_abbreviation
What is the fractional unit of the currency Brazilian real from Brazil?,Centavo,fractional_unit
What is the currency symbol of the currency Brunei dollar from Brunei[H]?,$,symbol_or_abbreviation
"What is the fractional unit of the currency North Korean won from Korea, North?",Chon,fractional_unit
What is the currency symbol of the currency Kiribati dollar[E] from Kiribati?,$,symbol_or_abbreviation
What is the fractional unit of the currency Australian dollar from Tuvalu?,Cent,fractional_unit
What is the ISO code of the currency Angolan kwanza from Angola?,AOA,iso_code
What is the ISO code of the currency Ugandan shilling from Uganda?,UGX,iso_code
What is the ISO code of the currency Central African CFA franc from Cameroon?,XAF,iso_code
What is the currency symbol of the currency Sterling from Saint Helena?,£,symbol_or_abbreviation
What is the ISO code of the currency Swazi lilangeni from Eswatini?,SZL,iso_code
What is the fractional unit of the currency Vanuatu vatu from Vanuatu?,Cent,fractional_unit
What is the ISO code of the currency Central African CFA franc from Equatorial Guinea?,XAF,iso_code
What is the ISO code of the currency Algerian dinar from Algeria?,DZD,iso_code
What is the currency symbol of the currency Mexican peso from Mexico?,$,symbol_or_abbreviation
What is the ISO code of the currency Euro from Andorra?,EUR,iso_code
What is the fractional unit of the currency Georgian lari from Georgia?,Tetri,fractional_unit
What is the fractional unit of the currency Trinidad and Tobago dollar from Trinidad and Tobago?,Cent,fractional_unit
What is the ISO code of the currency Eritrean nakfa from Eritrea?,ERN,iso_code
What is the fractional unit of the currency Mongolian tögrög from Mongolia?,Möngö,fractional_unit
What is the currency symbol of the currency Kiribati dollar[E] from Kiribati?,$,symbol_or_abbreviation
What is the currency symbol of the currency Algerian dinar from Algeria?,DA,symbol_or_abbreviation
What is the fractional unit of the currency United States dollar from Panama?,Cent,fractional_unit
What is the currency symbol of the currency Eritrean nakfa from Eritrea?,Nkf,symbol_or_abbreviation
What is the fractional unit of the currency Uruguayan peso from Uruguay?,Centésimo,fractional_unit
What is the currency symbol of the currency Hungarian forint from Hungary?,Ft,symbol_or_abbreviation
What is the ISO code of the currency Maldivian rufiyaa from Maldives?,MVR,iso_code
What is the fractional unit of the currency Australian dollar from Kiribati?,Cent,fractional_unit
What is the currency symbol of the currency Honduran lempira from Honduras?,L,symbol_or_abbreviation
What is the fractional unit of the currency Polish złoty from Poland?,Grosz,fractional_unit
What is the ISO code of the currency Qatari riyal from Qatar?,QAR,iso_code
What is the ISO code of the currency New Zealand dollar from New Zealand?,NZD,iso_code
What is the fractional unit of the currency Transnistrian ruble from Transnistria?,Kopeck,fractional_unit
What is the currency symbol of the currency Japanese yen from Japan?,¥,symbol_or_abbreviation
What is the currency symbol of the currency Cook Islands dollar from Cook Islands?,$,symbol_or_abbreviation
What is the currency symbol of the currency West African CFA franc from Togo?,F.CFA,symbol_or_abbreviation
What is the currency symbol of the currency Azerbaijani manat from Azerbaijan?,₼,symbol_or_abbreviation
What is the fractional unit of the currency Nepalese rupee from Nepal?,Paisa,fractional_unit
What is the currency symbol of the currency New Zealand dollar from Cook Islands?,$,symbol_or_abbreviation
What is the currency symbol of the currency Samoan tālā from Samoa?,$,symbol_or_abbreviation
What is the fractional unit of the currency Yemeni rial from Yemen?,Fils,fractional_unit
What is the currency symbol of the currency United States dollar from United States?,$,symbol_or_abbreviation
What is the ISO code of the currency Botswana pula from Botswana?,BWP,iso_code
What is the currency symbol of the currency Japanese yen from Japan?,¥,symbol_or_abbreviation
What is the currency symbol of the currency Vanuatu vatu from Vanuatu?,VT,symbol_or_abbreviation
"What is the ISO code of the currency Central African CFA franc from Congo, Republic of the?",XAF,iso_code
