roman,arabic
MMCDXV,2415
MCCCXVI,1316
MMMXXIII,3023
DCCLXIV,764
MML,2050
DCCCXXXIII,833
CCCLXIX,369
MDCCCXXX,1830
MXLVIII,1048
DXXV,525
MMCCLVI,2256
MDLXXXIX,1589
MDCLXXXV,1685
MMMLXV,3065
DCV,605
MMMCC,3200
MMLVI,2056
DCCIII,703
MCDLXXI,1471
CDLXXIV,474
DCLXXX,680
MDXLIII,1543
CCCLXXIV,374
MDCCXCVIII,1798
MDCCIII,1703
CCXL,240
CDLXXX,480
MMMCVI,3106
DCCCXCI,891
MMMDXXXVIII,3538
MDCXCVII,1697
MMMCXXXVII,3137
MMMCMX,3910
MMCCCXXXVI,2336
MCDIX,1409
MMCDLXXXIV,2484
MMMCDXXXIII,3433
MMMCDXII,3412
MMDCLXIX,2669
CCXVII,217
MMDXCV,2595
DCXLI,641
MMDCCCLXXXIV,2884
CCXXVII,227
MCMXIV,1914
MMCLXXIX,2179
MMCMLIII,2953
MMDCCCLXI,2861
MMCDLXXXV,2485
MMXV,2015
DCCCXXIV,824
MCDLXIV,1464
MMMDCCLXXVII,3777
DXXXI,531
MMMCDLXXXIX,3489
CMLXVIII,968
MMDCCCLXXXVI,2886
MMCMXLVIII,2948
DCCCLXVI,866
MMCCLIV,2254
DXCV,595
MMMCLIX,3159
MDCXCIII,1693
MMDCXXIII,2623
CMLVI,956
DCCLXXVII,777
MMCDLVI,2456
MCMLXIX,1969
MMMCCLVII,3257
CCL,250
MMMCDIX,3409
MCCCXXIX,1329
MMCMXLV,2945
MMMLXVIII,3068
MDCCCXXIX,1829
CMXL,940
CCXXXVIII,238
DCCCLV,855
MCCXXXVII,1237
MMMXCI,3091
DCCCLXXXI,881
MCCCXXXIV,1334
MDCXL,1640
MMDCXC,2690
DCXIII,613
MMLXXXVIII,2088
MMCCCXLIX,2349
MMCDLIX,2459
MMMCCCXLIV,3344
MCMXCII,1992
MMMCCCXCVII,3397
MMDCCCXCV,2895
MCMII,1902
MMMCMXXXI,3931
MCDXXVII,1427
MCCXVII,1217
CCCXII,312
MDLXXVIII,1578
MCDXVII,1417
MMDCCL,2750
MCCCI,1301
MMMXCIII,3093
DXXVIII,528
DCCXVII,717
CDXCIX,499
DCXXXIII,633
DCXXVIII,628
MMMCDI,3401
DCXI,611
MMMCDLXIV,3464
MMMDLXXIV,3574
MMMCCXII,3212
MMMCCCVI,3306
CCCLXXVIII,378
MMDCCLVIII,2758
MCXX,1120
MMMCCLXXII,3272
MMMLXII,3062
DCCXCIII,793
MMMCLIV,3154
MCLXIII,1163
MMCLXXV,2175
MMCCCXXVIII,2328
MMDLXIV,2564
MDCLXXII,1672
MMCLXXX,2180
MMMDCXXI,3621
MMMCCLXXVI,3276
MMMCDLXIX,3469
MMMCCCLXXVI,3376
DCCCLI,851
MMCXXVII,2127
MMDXXXV,2535
MMCXXI,2121
MMMCLII,3152
MMMCCCLXXII,3372
MMCCCLXVIII,2368
DCCXCI,791
MDCCVI,1706
MMCMXXVII,2927
MMCCCXCIII,2393
MMDCCCLXIX,2869
MMDCXXXVIII,2638
CCXXXV,235
MDCCCLXXXII,1882
MMCXXIX,2129
MMMLXI,3061
MMDCCCX,2810
DCCXXXVII,737
MDCCXXIX,1729
MMCDXLI,2441
MCXXXIII,1133
MMCDLXI,2461
MLV,1055
MMCDXXVII,2427
MMMCMLXXXV,3985
MMDXLV,2545
MDCXVII,1617
MMDCCXLII,2742
MXXIV,1024
MDCXXXIII,1633
MMDXX,2520
MMDCCXIX,2719
MMCXLI,2141
MMMDCXIV,3614
MCXXXII,1132
DC,600
DCLIII,653
DCXXXIX,639
MMDCCCXII,2812
MMMDCCXVIII,3718
MCDXXXVI,1436
DCCCXC,890
MMDLXXIII,2573
MDIV,1504
MDCCCLXXX,1880
MDXIII,1513
DCCCLXXXVIII,888
DCCXCIV,794
MDCCCLXX,1870
MMMCDXLI,3441
MDCCCLXIII,1863
MMMDCCXIII,3713
CCLXXXI,281
MCCXLV,1245
MMCCLIX,2259
MMMCXCVII,3197
MMMDCCXLII,3742
MMMDCXXXIV,3634
MMLXXV,2075
CDLXXXIX,489
MCMXI,1911
MMDCCCLVII,2857
MMMDCLXXVI,3676
MMMCCXXII,3222
MDC,1600
MMDCCCLV,2855
CMLVII,957
MCMXCVII,1997
MMMCDV,3405
CMXXXI,931
MMCMXXI,2921
MMCLXX,2170
MXXXV,1035
CCCIX,309
MMMDCCXCVI,3796
MMDCCCXVIII,2818
MMCDXIX,2419
MMMCCCXVI,3316
MCDLXXVIII,1478
MCDXXXVIII,1438
MMMCCCVII,3307
MMMDCLXXXVI,3686
MMMCCLXXVII,3277
MMCMXLI,2941
CCCXXV,325
MDLXXVII,1577
MMMDLIII,3553
MMDCCCXXV,2825
MMMCDL,3450
MMMCVII,3107
MMMCMXCV,3995
MDCCLV,1755
DCCCXLII,842
MCMXVI,1916
MCCLXVI,1266
MDCXC,1690
MMMCMXLVI,3946
MDCLI,1651
MMCDXXVI,2426
MMDCCXXI,2721
MCL,1150
MDLXXXVI,1586
MMDCCLXXXVI,2786
MDCCCI,1801
MMDCCCXXXVI,2836
MMCCCXLVI,2346
MCCLXIX,1269
MMMCLXX,3170
MMMDCCCLXXXVI,3886
MMCMII,2902
DCCCXXXIX,839
MDCCLXXXVII,1787
MCCXXIII,1223
CCCXCIV,394
DLXV,565
MMMVII,3007
MCC,1200
MMCMLXXXV,2985
DXXXII,532
MLXXIV,1074
CCCXI,311
MMMDCXXVI,3626
CDXLIV,444
MMMCCXIX,3219
MCXVI,1116
MMCM,2900
MMMDCLXXIX,3679
MMMDXCIII,3593
CM,900
MCDXXIII,1423
MMCCXLII,2242
MMMLI,3051
MMCMLXXII,2972
MMDCCCLXVII,2867
MMDCCCLXXV,2875
CMVI,906
DCCCLXVIII,868
MMMDCCCLXXII,3872
MDCCLXII,1762
MDCLXXXIX,1689
MCCLIV,1254
MMMCDLXXX,3480
MDCLXXVII,1677
MMDCCLXXXVIII,2788
DXXXIX,539
MCDLXXXVI,1486
MMDCCXVI,2716
MCLI,1151
DCCCXLVIII,848
MDCVII,1607
MMDCCLVII,2757
MMDCCCLIII,2853
MCMLXXXV,1985
DCCCLXXI,871
MMMCIV,3104
MMCCLXIV,2264
CMXII,912
MDCCXCVII,1797
CCCLXXXV,385
MMMDCCCLII,3852
MMXXVII,2027
DCCLI,751
MCXXVIII,1128
MMMCCCXLVII,3347
MMLXXVII,2077
MMDXXXIX,2539
MMMDCCL,3750
MMMDCXCI,3691
MMMDCXIII,3613
MMMDCLXXIII,3673
CCCXXIX,329
MMMCMXII,3912
CMXCI,991
CMXXXIII,933
MCDXXV,1425
MMDCCLXIX,2769
CCCLXXXVII,387
MMCDLXXIX,2479
MDLI,1551
MCCCVIII,1308
MMDXLI,2541
MMMCCXLIX,3249
CCLXXIX,279
MIV,1004
MMMCCL,3250
MMDLXXII,2572
MMCMIII,2903
MMCCIII,2203
MCDLXII,1462
MMMDCCCIX,3809
MDCXXXII,1632
MMMDCCXIV,3714
MDLXXXI,1581
MMDCCLXXX,2780
MMMCMXIX,3919
CCCLXXI,371
MMCDXC,2490
MMDCCXIII,2713
MCLXXXVII,1187
MCIV,1104
CCCXXI,321
DCXLVI,646
MDCCCLXXIV,1874
DXIII,513
MMMDCCCIII,3803
MCCCLIII,1353
MCDXXIV,1424
DXLIV,544
MMCMLXVIII,2968
MMCDLXXVIII,2478
CCCLXIII,363
CCIV,204
MCDLXI,1461
MDXXXIII,1533
DCLXIV,664
MMMCLXV,3165
MCCCLXXXVIII,1388
MMCCCXXXVII,2337
MMDCCCXLVIII,2848
DCCCXXXVII,837
MXCIV,1094
MMMCCXCII,3292
MDXV,1515
MMDCCCXXXV,2835
MMCLXXVII,2177
MMDCCCXXIX,2829
MMCX,2110
MMMCV,3105
CMXXXII,932
MMMCXLVIII,3148
MMMCCCIX,3309
MXIV,1014
MMMDCCXLVI,3746
MCCCLXXXII,1382
MMCMLIX,2959
MMMCCXXXII,3232
MCLXIX,1169
MMMCXCII,3192
MMCCCV,2305
MMDXCIV,2594
DCCCXV,815
CMLXXII,972
MCCLXXI,1271
MMCCIV,2204
MMCDXLIV,2444
MCLXXIX,1179
MMCCCXCI,2391
MMDXLVIII,2548
MMMCMXXI,3921
MMMDCXXVII,3627
MCDLX,1460
CDXIX,419
MDCCXXXIX,1739
DCCXIX,719
DLXXXI,581
MMCMXXXVII,2937
MCCXLVIII,1248
DCCLXII,762
MMMCMLXXXVI,3986
MDXCVIII,1598
MMMCCVIII,3208
MMDXXVIII,2528
CCXXVI,226
CMX,910
MMDCXLV,2645
MCCCXCII,1392
MMMDLXXXVI,3586
CCLXII,262
DCCLVIII,758
MMCMLXXXII,2982
MCCCLXIV,1364
MCCCVI,1306
MCCLXIV,1264
MMMLXX,3070
MMCDLII,2452
MMCMXLIII,2943
MMMXCVIII,3098
MMMCCIII,3203
MMMCDLXIII,3463
MDCCCXXXIX,1839
CMIX,909
MMDXCIII,2593
MDCCLXXVIII,1778
MMXCVIII,2098
MMMCDLXXV,3475
MDCLXXVI,1676
MMCXXXIII,2133
MCMLXXII,1972
MMLXV,2065
MDXLII,1542
MMCDXCI,2491
MMDCCCXXVIII,2828
MCDXCV,1495
MMDXLVI,2546
MMCMXCVI,2996
MMMLXXIX,3079
MDLXXXII,1582
MDCCL,1750
DLXXXVIII,588
MMCCX,2210
MMVII,2007
CDLXIV,464
MMMCLIII,3153
DCCXXV,725
MMCMXXV,2925
MCML,1950
MMMXLVI,3046
MDCCVIII,1708
MMMCDXLVIII,3448
MMCMLXVI,2966
MMMDCCXXXVI,3736
MMCMXXIII,2923
MMMXXXII,3032
MMMDCCCLX,3860
MMLXXIII,2073
DCXXXIV,634
CCCXCI,391
MMMDLXXII,3572
MMMCCCIII,3303
MMDLXXXIV,2584
MMCLXXVI,2176
DCCCXXII,822
MMCCVI,2206
MMMCXCIII,3193
MMMDCCIV,3704
MMMCCCXXXIII,3333
DXXVII,527
MMMDCCXCI,3791
MCDXLV,1445
CDXCIII,493
MMDCXCIV,2694
MDIX,1509
MMCCLVII,2257
DLVIII,558
MMMDCCCLXXXIII,3883
MMMDCCLVII,3757
MMCCCXXI,2321
MMMDXL,3540
MMMCCCXCI,3391
DCCXXX,730
MMMDVII,3507
MMXLVI,2046
MMMCXI,3111
MMXXXI,2031
MMMCXL,3140
MLXXX,1080
MDCCXX,1720
MCCXIV,1214
MMCMLXXXI,2981
MDCCLXVII,1767
CMXXX,930
MMMDCLXIV,3664
MMMDXXXII,3532
MMCLXVIII,2168
MCMLXXI,1971
MMCXC,2190
MMMCCCXV,3315
DCCCXLVI,846
MMCDXIII,2413
MMCXI,2111
DCCXL,740
DLXIX,569
CCCV,305
MCMXXVI,1926
DCXXXVIII,638
DCCLXXXVIII,788
CDXVI,416
MDCXXIX,1629
MXIX,1019
MDCCXXXVIII,1738
MMMDCCCLXXX,3880
MCLVII,1157
MCXXIV,1124
MDCXCVIII,1698
CMXCII,992
MMDXLIX,2549
MMDXXVII,2527
MMCCCXL,2340
MMMCLXXIX,3179
D,500
MMMDCXCVII,3697
MMCCXCII,2292
MCMVIII,1908
MMMXI,3011
MMMDXCI,3591
DCXL,640
DCLXXII,672
MMMDXII,3512
MMMCCCXLIX,3349
MMMCMLXVII,3967
CCIII,203
MMCMLXIX,2969
MCDII,1402
MMCMLVI,2956
MMDC,2600
DIX,509
CDXLIII,443
DCCLXXXIII,783
MDCCLVI,1756
DCCCLXXXIV,884
MMMCMXX,3920
MMCCLXXIII,2273
MMMDCLXXXIV,3684
MMCMXI,2911
MMDCCLXXI,2771
CCLXXVI,276
CMLXVI,966
CCCXXVII,327
MMCDXXV,2425
MMMDCCLXXII,3772
MMDLVI,2556
MMCCCXCVI,2396
MMCDVI,2406
MMMDXLIII,3543
MDXXI,1521
MMMCMLXXII,3972
DCXXI,621
MCDXLIX,1449
MXLIV,1044
MMMCLXXIII,3173
MMMCLXVIII,3168
DCCLXXIII,773
MMCMXXXI,2931
CDXL,440
MDCCCXI,1811
MMMCCIV,3204
MMDCLXXXIV,2684
MMMDCCCLIV,3854
MMMDCLXV,3665
MMDCXXXVII,2637
MMXLIII,2043
MDCVI,1606
MMMDXXXVII,3537
MCXII,1112
MMCCCLXVII,2367
DCCCLXXVII,877
MMDCCLXXIII,2773
MMMCCXVI,3216
MII,1002
MMCCCLIX,2359
MDCCXIII,1713
MMCLXXVIII,2178
MMMDCCCXCII,3892
MMDCCCXXVII,2827
MMDCXXXIV,2634
CCCXIII,313
MCDLVIII,1458
MMCCXXV,2225
DCCCI,801
MCCCXXXI,1331
MMMCDLXV,3465
MMMCCXI,3211
MDXI,1511
MMMDCCXIX,3719
MMCCCXXV,2325
MMCCCLXXXVI,2386
MMDCLVII,2657
MMDCCC,2800
MMMCMXLIII,3943
CCLXIX,269
CMV,905
CMIII,903
MCDVI,1406
MMMDCCXXXVIII,3738
MDCLXXX,1680
MMCCCLXXVI,2376
MMCXXXIV,2134
MMCCLXVII,2267
CCCXXXII,332
DCCLXVI,766
CDXCI,491
MCCXXVI,1226
MMCMLXX,2970
DCCXIII,713
DCCCLXIX,869
MCMLXXV,1975
MDLIV,1554
MMCMXLII,2942
MDCLXXXVI,1686
MMDCCCLXXXV,2885
MMMD,3500
MDXVI,1516
DLXXXIII,583
MMMCMXI,3911
MCDXLIII,1443
MMDCCCLXXIII,2873
CMLXXXVII,987
MMMDXXXIV,3534
MMMDCCXCII,3792
CMLIX,959
CDXXV,425
MCXCIX,1199
MMDCCCXVI,2816
MMCMXV,2915
MMDCCLXIII,2763
MDCCXCIII,1793
CDXXVI,426
M,1000
MMDCCCLI,2851
MMCDXXXIII,2433
MMMDCCCLXXIII,3873
MCDXLVI,1446
MMXLIX,2049
MMMDCCLXIV,3764
MMMXCIV,3094
MDCCCXXVIII,1828
MCCCXCIX,1399
MMMCDXLVI,3446
MMMDCCVIII,3708
MDLVII,1557
MCCCLI,1351
MMDCXCIX,2699
CDXLVII,447
MMMXIX,3019
CDLXXXVI,486
CCCXCII,392
MMMDCLII,3652
MCCCXLIX,1349
CCCLXXXVIII,388
MMMCDXV,3415
MMMCCLXXXVIII,3288
MMMCCCLXXX,3380
MCCCXV,1315
MMMCCXXV,3225
CMXIII,913
MMCDXCII,2492
MMMCCCLXXXVIII,3388
MMMIX,3009
MMMCCCI,3301
MCCCXXXVI,1336
MCCCLXXVII,1377
CDXXI,421
CCCLXXXIX,389
MMDLXXVIII,2578
MMDCXLVI,2646
MMDCCLXXVIII,2778
MLXVIII,1068
MCCCXCVI,1396
MMMDXXX,3530
MMDLXV,2565
CDXC,490
MMDCCV,2705
CDLXVII,467
CCXXXIII,233
MCMXV,1915
MMDLXXXV,2585
DCCXCVIII,798
MMMCML,3950
CCXCVIII,298
MMMCMXLIV,3944
MMLXXII,2072
CDLIII,453
MDCCCLXV,1865
MDXVIII,1518
MCCCXXXV,1335
MMCDXXII,2422
MMMCIX,3109
MMMDCCCXXII,3822
CDXXXV,435
MCXCIV,1194
CMXXV,925
MMMCDXLIII,3443
DLXXX,580
MDCCCXCIV,1894
MMMDCCCLXXXVIII,3888
MMMDLXVII,3567
MMMDCCCXX,3820
MMMDCCLV,3755
MMCMLXXXVIII,2988
MMDCCCXV,2815
MCLXIV,1164
MDVI,1506
CMII,902
MCCLXXXVIII,1288
MMMLVI,3056
MMMCCIX,3209
MMMXLIII,3043
MMMDCCLXXXI,3781
MMMDCCCV,3805
DCXXXVI,636
MMDIV,2504
DCCLXVII,767
MMCCLXXXIII,2283
MDCCCLXXI,1871
CCXXXVII,237
MXLVII,1047
MMMCLXVI,3166
DCCCXLV,845
MCCCLXXXIX,1389
MMMDLII,3552
MMCCXLIV,2244
MDCCCXXXVII,1837
MMCDXCIX,2499
MCCCXI,1311
MMMDCCCLXX,3870
CCXCII,292
DCCLXXIV,774
CDLIV,454
MMDCXXXI,2631
MDCCCXIX,1819
MMMCMXLII,3942
DLVI,556
CCXXXIX,239
MMDCCCLXXII,2872
MCXVIII,1118
MMDCCCXXVI,2826
MMMDCLXXV,3675
MCCXCVIII,1298
MMMLXVI,3066
CDXCIV,494
MMMCXCI,3191
MMDCCXL,2740
MCDXCIV,1494
MMMDCXC,3690
MMCCLXXXIX,2289
MMMX,3010
MCCIII,1203
MMLXXXV,2085
MMCDXVI,2416
MMMCCLXI,3261
MMMCDLXXXI,3481
MCMX,1910
CDLII,452
MCCCLVI,1356
MCXCVII,1197
DCCCLXI,861
MDCXCIV,1694
MMCCCXLVII,2347
MDCLXIII,1663
DCCCLXIII,863
CCCXCVIII,398
MDCCCXCIX,1899
MMMXCV,3095
DCLXXVI,676
MDCCCLV,1855
MCXXXVI,1136
MCCXVI,1216
MCDLVII,1457
MMDCCXCVI,2796
MCCCLII,1352
MCMXLVI,1946
MCXXXI,1131
MMMDCII,3602
MMMDXXXI,3531
MMDLX,2560
MDCLIV,1654
MMMCLXXXV,3185
CMLXI,961
MCDVII,1407
DCXLVIII,648
MCDXX,1420
MCMXLV,1945
DCLXXIX,679
MMMDLXXXV,3585
MCCIX,1209
MMMLXXX,3080
CDXXXVI,436
MMCCCXXXIV,2334
MMMDCLXXVIII,3678
MMMDCCLXIII,3763
MDCCCLVI,1856
MMMDXXI,3521
MMMCDLXXIV,3474
MDCCCXLIV,1844
MMDXXIII,2523
MMDCCCLVIII,2858
MMCMXLIX,2949
CDXXXI,431
MMDCCCXVII,2817
MMCCXCI,2291
MDCIII,1603
CMXXIX,929
MMMCCV,3205
MMCVII,2107
CCLXXIV,274
CMLXXIX,979
MDCCCLIII,1853
MMCDLXXXIX,2489
MMCCXXVI,2226
MCXXVI,1126
MDCCLXXII,1772
MMDCCCXIV,2814
CCXLVII,247
CCLV,255
MCCCLVIII,1358
MMDLXXVI,2576
DCXXIV,624
MMCCCXII,2312
MLXXXVII,1087
MMMXL,3040
MMMCDLXI,3461
MLXIX,1069
MMMDCCXI,3711
MMDLXXXI,2581
MDCCXVII,1717
MMMDCCXXVI,3726
MMDIII,2503
MDCCLXXVI,1776
MMDCCXLIV,2744
MCCXC,1290
MMMCMXLV,3945
MMCDLXXXVI,2486
MCCCXXXVIII,1338
MCDX,1410
MMDXXXVIII,2538
DCLXXXV,685
MMMCXXXVIII,3138
MMMCDLV,3455
DLXXV,575
MDCCXXXII,1732
MCMXXXIII,1933
MMMDIX,3509
MMMCCLX,3260
CCLXXX,280
MMMDCCLXXXVII,3787
CCXXX,230
MMMDCLXIX,3669
DCCIV,704
DCCCLVI,856
CCCX,310
MMMDCCCLXXXIV,3884
MMMDCXCVIII,3698
MMDXIX,2519
MMCMXLIV,2944
MMCMLXXXVII,2987
MMCCXXXIV,2234
MMMDCCCII,3802
MMMCMVI,3906
DCCCVI,806
DLIX,559
MDCCXXVI,1726
MMCCCXCVII,2397
DCCCLII,852
DCXXII,622
DCCXVI,716
MMMCCVI,3206
MMCCCLVIII,2358
MCMXVII,1917
MMMLXXXII,3082
MMMDCXXXII,3632
MMMDCCCXXXVII,3837
MMMCDXX,3420
MMCCXLV,2245
MMDXXIX,2529
MDCCCLVIII,1858
MMMCMLI,3951
MMDCVIII,2608
MMMDCCCLXXIX,3879
CMXXI,921
MMMCCCV,3305
CCCLX,360
DXCIV,594
MMMDV,3505
MMMCMLXVIII,3968
MCCCLXXX,1380
MMCMLV,2955
DCCLXXXVI,786
DCCCXLIII,843
DLXX,570
MMMDL,3550
MCCCLXXXVII,1387
MCDLXXVII,1477
MMDCCXXXIV,2734
MMDLXXIV,2574
MMCMXXXVI,2936
MMMCDXXXVI,3436
MMCMLIV,2954
MMCCLXXXVIII,2288
MMMLXXXVII,3087
CCCXX,320
MMMCCLXXI,3271
MMMCXXVI,3126
MCCCLVII,1357
MMMDCCLXIX,3769
MMMCCCLVII,3357
MMCCCLXXII,2372
MMMCMLXX,3970
MMCCIX,2209
MMDXCI,2591
MMMCDLXXXVII,3487
MMMDCCCXXXIII,3833
MCXXV,1125
MMMCLXXX,3180
CDLVIII,458
MCMXXIII,1923
DCCCXXVI,826
MMCXIX,2119
MCMLXXVIII,1978
MDCCCXXXVIII,1838
CCLXI,261
MDCCCV,1805
MMMCMLXXIX,3979
CMXC,990
MMCDLVII,2457
DLXII,562
MDCCCXIII,1813
MMMCCXL,3240
MMMDCXII,3612
CMLIV,954
MMMLXXVI,3076
MCCXCII,1292
MMMVI,3006
CCXI,211
MMCCXXXVI,2236
MCCXXXIV,1234
MMMCLXII,3162
MMDLXVII,2567
DCCCL,850
MMMDCL,3650
MCMVI,1906
MDXXIV,1524
MMMLXXIII,3073
MMDCXLII,2642
MMCMXCIX,2999
CDXXIII,423
MCMLXX,1970
MMMDCCXLV,3745
MMXII,2012
MMMXXXVII,3037
MMMLV,3055
MMDCXVI,2616
DCCCXVIII,818
MMMII,3002
MCCLXVII,1267
MDLXVI,1566
MMMCCXXXVIII,3238
MCMV,1905
MCLXXXIV,1184
MDCCLXXV,1775
MCCLXXIII,1273
MMDCCCIII,2803
MDXII,1512
MMCCCIX,2309
CCXC,290
MCDXCVII,1497
CDXXVIII,428
MMDCCLXXXIX,2789
MMCCXXXVII,2237
MMDCCLII,2752
MMDCCXVII,2717
MMCMLXII,2962
MMCCLXIX,2269
MMMLXIX,3069
MMMCCCXXI,3321
MMMDCCXII,3712
MMDCCXVIII,2718
CCLXXI,271
DXXXVIII,538
MMMDCIII,3603
CCCVII,307
DCCLII,752
MCCCLXXVI,1376
MMCXIII,2113
DCCCXXX,830
MDXCI,1591
MMDCXXX,2630
MCMLXXIX,1979
MMCII,2102
MMMDCXXXI,3631
CMXLIII,943
DCXC,690
MMMCCCLXVII,3367
MMCMXCII,2992
MMMCCCLXI,3361
MMMXLIX,3049
MMMDCCXL,3740
DCCLXXII,772
MMCCCLXXXIII,2383
MMCDLX,2460
MCXIV,1114
DLXXIV,574
MMCDLXXIV,2474
DCCCLXXVI,876
MMMDCCLXXXVIII,3788
MMMDLXIII,3563
DCCCLXXVIII,878
CCCXCVI,396
MDCCCLXVIII,1868
CDLXXVIII,478
MMMCDLVII,3457
MMCDXCVIII,2498
MCDLXXXVII,1487
DCCCXXXV,835
DCCCLXXX,880
DCCLXXX,780
CDXXXVII,437
MDCXI,1611
CMLX,960
MMMDCCV,3705
MMMCDXXXVII,3437
MCMXXVIII,1928
MMMCLVII,3157
MMCMLXI,2961
DCXLIII,643
MCCLXXXIV,1284
MMCDLXXXI,2481
MCCXXX,1230
MLXVI,1066
MMCCCXXXV,2335
MMDCCCV,2805
MMCDLV,2455
MMCCCLXXX,2380
MMCCXXIII,2223
CCCXIX,319
MCMLXVI,1966
MMMDCCXXXVII,3737
MMMCCCXXXIX,3339
MDCCCVIII,1808
DCCXCVII,797
MMCCLXXII,2272
MMCMLX,2960
MMMCDIII,3403
MDCCCLXXXV,1885
CCCLXV,365
MCIII,1103
MMDCCCLXXVIII,2878
MMMDCCCXVII,3817
MMMDCLXXVII,3677
MMCCCLXXXVII,2387
MMMCMXXXVIII,3938
MVI,1006
MMCDIV,2404
MLXVII,1067
MCDI,1401
DCCCII,802
MMMCCCXXXII,3332
CCLVII,257
MMMCCLXXXVII,3287
MMDCCCLX,2860
MMCI,2101
MMMDCCLXXIII,3773
MDCXLI,1641
MDCCXLVIII,1748
MMMDCCXXVII,3727
MMMDXLIV,3544
MCDLXXX,1480
CMLXXIII,973
MMCCCXLV,2345
DCLXXXI,681
MMMDCCCXXI,3821
MDXLVII,1547
CDXXXII,432
CCCXCV,395
MDCCXXIII,1723
MDCXXIV,1624
MMMCCCXXXIV,3334
CCCXXXVII,337
MMCDXXIII,2423
MMMLXVII,3067
MDCXXXVI,1636
MMXLV,2045
MMMDCCXXVIII,3728
DCCLXX,770
MDCXIV,1614
DCLXII,662
MDCCI,1701
MMMCDXCVIII,3498
MMDCLXVI,2666
MMDCLIV,2654
MMMCCXCI,3291
MMDCLII,2652
MMCCLXXIV,2274
CCCXVIII,318
MMCDLXXVI,2476
MCMXIII,1913
MMCMXXXII,2932
CMLXXXIII,983
MCMI,1901
MMMCDXXIV,3424
CCCXVII,317
MMCDXLIX,2449
MCDLXIII,1463
MMXXXIX,2039
DCCLIX,759
DCLXIII,663
MMMCCCLXXXVI,3386
MMLXXXIV,2084
MDXCIII,1593
DCCXLI,741
MMCLXV,2165
MIII,1003
MMMDCCCXLVII,3847
MMMDCXCIV,3694
MMXXVIII,2028
MMDCCXCV,2795
DCCCXIX,819
MDCX,1610
DCCXXIX,729
MMMCLXI,3161
CMXI,911
MCCXV,1215
MCLXX,1170
DCCCLIX,859
MMCLXXXIV,2184
MCCCXLV,1345
MLXV,1065
CCLX,260
MMMDCCCXXXVI,3836
DCCCLXXIV,874
MMMDCCLI,3751
MCDLII,1452
CCCXLV,345
MMMCLXXXIII,3183
MMMCMXLIX,3949
MMDCCCLXXVII,2877
MMDCCXXII,2722
MMLXI,2061
MMMCCLXXX,3280
MMCDXXX,2430
DCLII,652
DCCXII,712
CDXXXIII,433
MDCLXXXIV,1684
MMDLI,2551
DCLVII,657
MDXXV,1525
MLXI,1061
MDCCCXLVIII,1848
MCDXXXII,1432
MMMCDXXVI,3426
MLXIV,1064
MMDCCXLI,2741
DCXLVII,647
MMDCI,2601
MXXXVIII,1038
MDLVIII,1558
MMMDCCCLV,3855
MMMCMV,3905
MDCXXV,1625
MCDXXXI,1431
MCCCLXXIII,1373
MCLXXIII,1173
MMDCXXIX,2629
DVI,506
MMMCDXIII,3413
MMDCCLXII,2762
DLXXXIV,584
DII,502
MMMCCCXCIII,3393
DI,501
MCCCLXVIII,1368
MMMDCCLXXXIV,3784
MCCXXXV,1235
MDCCCLXXXVI,1886
MMCCXXXIX,2239
MMMCXCVIII,3198
MMCXXVI,2126
MMDCLXX,2670
MCXXX,1130
MMCCCLXXIX,2379
MMCCXL,2240
MMMCMLIX,3959
CDXXVII,427
MDCCXCV,1795
MMMDCCCXIV,3814
MDCXXXIX,1639
MMMCMLXXVIII,3978
MMMDCXLIII,3643
MMMCCXCV,3295
MLXIII,1063
MCCXXXII,1232
MMMCMLXII,3962
MMIII,2003
MMDCXXV,2625
MCCCLXXXIII,1383
CCCLII,352
MMDXXVI,2526
MMDCXXXIII,2633
MMMDCCLX,3760
MMMCLXXI,3171
MMDCCCXXIII,2823
CMLXII,962
MMCMXXVIII,2928
MMCDLXVI,2466
CCCXXXV,335
DCCXXXIX,739
MMDCCXXVII,2727
MMDLXI,2561
MMCIII,2103
MDCCCLVII,1857
MCCCLXXVIII,1378
DCCLXXXVII,787
MDXXXV,1535
MDCCXXVIII,1728
MMCCCLX,2360
MMDCCLXIV,2764
MCMIII,1903
DCCCXXI,821
MMMCMLXXI,3971
MMC,2100
MMMCL,3150
DXLVII,547
MCXVII,1117
MDCCCIX,1809
MMMCMLXI,3961
CCXVIII,218
MCDXXVIII,1428
MMMCXLVII,3147
CCCLXXXVI,386
MCMLIX,1959
MCCCLXVI,1366
MMMCCCXXV,3325
